Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
84,56.63,48.37,39.25,31,18,45
43.09,55.87,27.41,19.86,30,31,26
33.1,47.13,41.04,26.62,88,103,54
37.01,41.23,35.4,26.45,86,83,66
51.7,54.53,44.77,35,93,68,32
41.11,45.89,38.07,23.81,37,34,32
59.8,61.35,39.58,24.73,59,62,16
59.86,39.24,35.09,57.03,17,25,17
48.06,56.34,45.28,38.26,38,57,21
73.2,61.55,41.78,39.37,37,36,39
42.91,54.84,40.4,33.39,19,23,26
47.93,52.49,40.92,33.07,30,41,27
41.15,40.74,46.55,46.8,38,37,42
60.25,44.27,32.23,24.49,48,36,49
45.3,49.26,29.17,17.24,34,29,33
26.68,37.05,35.99,32.37,23,48,19
57.7,51.23,24.65,28.37,53,44,56
39.81,41.1,37.77,38.8,24,55,57
40.76,46.03,26.73,29.87,56,33,41
43.9,47.2,37.58,33.69,42,27,33
39.3,53.63,32.19,19.75,32,26,28
58.07,42.66,31.91,29.28,51,43,49
72.07,48.38,31.04,20.31,38,30,33
43.21,47.66,36.62,27.97,38,36,42
41.46,49.41,38.75,30.58,17,39,48
37.13,40.1,43.81,35.18,50,44,52
39.91,40.84,35.12,29.38,36,27,45
90.25,67.25,46.48,54.33,16,63,51
34.73,43.27,28.09,24.4,27,25,27
46.61,50.9,34.09,30.63,26,21,23
44.71,44.37,36.91,27.67,40,24,47
34.61,40.36,38.18,28.97,29,21,37
40.72,37.39,35.73,35.21,29,29,22
45.7,45.16,36.75,33.53,34,23,23
39.04,43.59,39.13,38.73,19,25,22
40.03,42,44.12,35.06,26,35,32
46.61,51.68,44.01,33.05,19,77,31
35.18,50.03,28.98,25.99,31,33,39
36.93,39.08,33.38,30.51,20,24,27
37.16,56.44,32.35,30.16,48,23,51
44.21,50.04,40.23,24.37,43,34,33
44.93,45,51.2,41.48,44,51,48
60.86,61.48,49.18,35.92,45,49,51
35.96,50.48,23.08,15.39,33,38,33
83.15,62.07,32.61,39.31,69,65,47
42.95,47.52,39.26,38.72,48,43,52
32.05,37.37,41.39,33.63,55,43,50
56.33,33.08,30.14,32.31,31,31,24
43.86,56.06,31.24,18.64,28,16,22
58.48,41.35,25.33,25.91,23,30,21
64.75,39.93,31.72,24.26,22,31,21
59.06,45.38,43.09,54.41,78,37,40
57.41,45.66,35.14,23.87,24,53,34
44.6,51.4,31.32,27.97,71,79,34
46.68,51.88,27.19,29.91,34,43,59
49.31,46.64,37.39,36.59,26,36,51
51.94,67.08,44.77,38.33,47,41,47
23.63,31.36,31.37,35.75,43,33,31
39.83,47.68,28.9,31.07,29,19,27
56.71,51.21,45.21,53.97,14,27,39
40.73,41.83,38.23,29.77,49,34,38
46.02,38.86,31.48,31.4,79,57,29
35.32,42.89,42.78,33.36,35,30,19
42.32,37.69,21.44,23.69,48,37,45
42.26,55.58,22.97,20.51,38,23,36
37.43,43.49,31.13,22.74,34,39,42
55.86,64.88,44.24,23.71,64,56,50
57.54,34.93,32.46,23.81,62,51,43
51.97,49.1,38.25,28.33,41,53,31
44.8,50.89,47.46,47.42,45,27,33
60.15,50.96,33.95,34.74,41,98,33
34.9,43.14,33.41,24.42,67,62,51
41.7,44.25,39.88,32.22,84,68,46
56.82,76.44,49.75,31.18,44,43,49
49.69,54.8,52.28,35.91,24,51,21
43.38,42.84,37.19,39.3,25,24,30
47.6,39.24,57.17,103.95,37,66,39
47.72,43.49,32.25,28.65,31,23,28
39.22,37.37,19.36,20.83,42,50,45
53.5,50.33,30.9,29.1,58,23,47
45.73,53.19,40.54,30.11,19,48,20
39.62,52.52,29.92,27.09,58,49,37
52.28,49.7,39.91,40.19,41,54,53
57.02,52.98,31.96,38.13,79,69,55
45.69,34.35,35.24,38.58,50,41,39
39.26,41.56,46.76,51.73,38,25,25
56.3,22.28,48.15,32.09,46,37,39
39.59,45.05,37.46,27.81,43,43,44
46.64,44.45,40.06,31.2,67,54,12
53.91,57.72,29.07,31.08,52,40,41
46.94,51.58,25.95,24.96,68,50,35
48.94,49.78,33.01,32.51,57,45,81
39.52,40.15,36.61,44.26,42,26,61
49.53,50.72,38.56,33.49,49,37,36
78.79,51.14,37.72,39.33,28,49,32
29.39,36.18,26.11,14.63,50,49,45
69.75,52.08,36.1,22.27,30,23,25
46.65,51.41,29.43,26.71,23,20,25
44.44,46.18,47.6,38.03,33,34,44
52.98,55.4,29.79,24.74,27,26,21
58.25,53.66,44.87,37.53,39,34,34
37.86,52.45,23.85,19.95,76,56,53
50.91,27.91,29.9,22.9,52,37,45
37.49,38.84,33.25,29.22,76,73,49
43.75,44.82,35.81,26.26,34,40,34
53.74,46.98,40.73,38.11,26,31,32
48.89,49.68,43.14,37.81,41,20,28
32.81,38.96,29.18,21.02,62,71,38
