Original Dataset Image,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
18.81,19.93,21.67,39.76,51,42,45
21.39,20.07,37.73,64.34,53,38,49
8.13,22.74,9.93,15.9,21,14,20
19.44,15,34,53.93,24,21,15
32.01,16.37,55.08,69.48,21,48,21
24.91,21.7,40.48,66.26,60,43,43
16.94,21.57,22.75,38.82,21,41,25
50.79,41.4,27.06,41.8,58,45,46
25.76,19.51,64.2,89.58,52,43,52
34.14,22.15,14.55,26.01,54,14,43
13.9,14.16,22.09,32.63,51,51,51
36.98,28.82,4.89,32.84,42,26,45
4.93,-0.35,12.55,35.48,40,39,35
27.96,28.62,38.34,35.55,42,41,36
53.18,43.95,7.31,24.35,41,36,31
9.43,18.43,9.08,22.78,49,42,35
16.5,17.95,15.82,28.7,49,47,50
28.08,15.1,50.18,74.78,107,113,86
51.36,44.62,18.06,22.36,37,48,44
22.71,22.05,19.87,30.23,68,48,45
22.61,21.83,39.6,65.29,29,18,21
19.93,22.86,18.26,19.01,46,125,33
44.79,33.57,17.57,31.88,21,33,19
10.36,5.83,15.69,43.03,27,36,24
15.91,13.79,28.76,44.29,42,26,37
79.38,49.85,39.28,52.6,69,65,47
36,16.41,16.18,23.65,49,62,56
14.85,17.62,19.3,32.54,40,90,42
19.59,9.4,39.66,60.55,37,40,54
20,24.46,20.58,25.74,41,37,45
-0.41,9.4,13.31,45.55,27,21,22
33.12,25.7,21.88,29.07,27,23,34
22.8,37.42,28.36,42.26,35,21,26
19.34,20.93,23.23,27.16,42,38,46
6.37,21.01,11.29,19.53,28,30,28
28.74,12.96,22.78,34.9,39,30,39
66.76,36.21,21.08,42.17,67,57,61
17.06,23.99,15.67,27.63,49,28,44
16.72,10.63,10.26,20.11,24,14,21
34.26,18.96,22.64,36.37,40,23,40
23.13,8.04,41.99,71.25,25,33,51
22.11,7.08,41.47,65.15,44,35,34
5.02,3.46,39.74,61.95,81,77,61
9.16,27.35,7.77,33.17,20,36,28
17.2,27.28,10.38,26.17,46,40,41
24.85,46.85,21.62,19,43,29,47
22.25,18.12,20.89,32.95,29,29,26
74.06,51.16,20.58,36.45,24,36,25
51.62,22.27,19.84,46.6,40,16,29
16.8,18.02,27.99,47.8,46,38,45
15.78,30.56,11.85,21.04,43,48,48
55.21,44.79,24.79,49.65,54,45,24
11.26,20.9,17.97,22.04,45,28,28
6.77,7.4,29.12,39.36,36,28,40
15.93,22.43,19.22,20.98,18,24,17
63.72,40.9,34.21,68.28,32,27,41
20.22,16.58,-4.51,17.42,28,38,36
18.23,23.92,18.71,27.37,30,48,21
21.58,19.47,28.06,46.04,34,22,32
35.3,39.56,28.92,26.57,47,27,29
25.55,46.81,25.24,14.85,40,14,24
18.04,22.79,21.99,32.47,50,40,51
56.53,54.63,40.59,19.58,70,66,42
15.29,29.35,19.31,13.02,24,45,35
62.5,31.38,26.52,28.19,47,40,49
35.73,22.53,26.38,42.7,31,25,25
33.51,29.01,12.98,18.03,31,34,37
49.59,54.03,42.35,36.94,26,76,17
