Image with Poisson Noise,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
18.05,10.3,27.32,45.82,32,40,25
60.68,22.48,24.06,40.92,26,35,23
28.2,30.27,33,46.18,21,68,20
32.72,55.72,19.57,46.57,38,30,34
95.81,64.95,83.87,101.26,21,43,17
19.37,18.57,29.99,51.32,24,74,26
28.65,26.31,23.98,28.93,30,30,27
32.96,41.39,4.38,37.13,34,47,38
19.63,13.34,31.38,47.88,31,17,21
17.54,25.28,24.15,35.52,70,79,19
37.56,30.99,41.48,47.47,67,49,51
43.87,33.69,14.58,52.67,37,30,38
51.04,21.54,20.58,41.26,49,45,47
29.39,41.76,17.26,34.32,44,40,48
38.47,27.5,40.4,54.07,41,39,43
17.58,7.63,32.57,55.7,47,48,46
20.77,54.2,15.68,24.74,33,21,33
4.52,-0.23,15.3,25.61,33,27,46
44.27,28.63,41.96,60.68,31,47,23
48.77,36.1,29.2,44.65,29,24,29
46.42,46.7,53.14,73.81,32,16,34
14.79,15.12,23.26,30.64,48,47,54
29.46,6.71,36,51.82,51,40,47
17.65,5.3,27.82,63.18,44,49,45
20.64,28.25,18.81,39.12,48,41,49
17.32,27.47,23.67,41.24,29,16,16
5.35,12.34,15.46,19.77,34,46,43
20.71,31.13,6.22,39.6,20,31,16
26.62,17.07,24.15,52.53,69,30,50
13.91,9.17,22.4,52.37,19,21,28
22.39,20.26,32.43,56.64,36,26,36
23.09,5.52,37.38,42.05,16,44,35
26.09,18.85,22.67,43.19,41,34,35
13.33,18.42,17.32,22.04,42,35,31
26.85,17.81,29.62,46.28,60,53,46
39.22,23.34,50.76,55.92,45,32,47
14.46,13.94,23.73,37.23,26,32,24
20.49,27.38,20.13,28.55,24,26,26
47.44,39.65,67.81,91.19,16,32,19
33.26,24.32,23.37,34.46,44,33,39
25.26,27.19,18.29,37.91,54,23,33
13.5,18,21.75,40.37,34,27,41
119.41,95.43,112.04,126.43,104,91,73
20.63,19.76,17.37,24.87,31,25,20
14.6,14.42,24.6,36.14,35,65,35
45.66,28.82,23.37,17.29,43,33,48
26.76,35.97,15.14,3.58,41,37,40
19.69,26.32,17.45,21.14,38,34,37
36.17,35.58,39.15,56.6,51,38,44
27.78,17.43,30.8,54.6,50,30,37
47.08,30.18,50.92,57.92,28,23,25
32.61,13.9,37.14,48.73,25,70,60
11.68,23.85,20.76,27.4,53,43,47
8.44,35.91,4.74,21.73,21,17,15
23.12,35.66,21.95,41.83,35,45,34
15.58,13.31,12.58,29.84,23,36,15
23.76,9.4,18.97,39.85,56,47,32
10.89,6.69,16.73,31.9,38,33,38
23.88,20.94,26.97,28.54,31,53,26
13.69,9.78,25.67,42.79,32,40,21
3.11,19.36,18.87,35.03,21,39,19
65.48,42.48,44.43,75.31,71,64,47
18.68,25.51,17.76,23.53,35,38,47
27.72,11.05,25.87,37.47,45,25,46
28.12,13.55,41.16,43.88,28,21,31
20.54,0.25,20.36,45.12,25,21,22
13.47,13.92,18.53,31.06,46,47,45
23.8,27.19,24.29,40.8,67,103,33
24.38,8.86,35.13,57.55,52,37,41
31.3,10.77,31.91,52.62,49,35,50
25.13,18.68,10.41,38.89,39,37,44
24.27,12.85,35.92,50.48,48,30,40
66.82,34.26,30.29,51.05,25,42,20
20.42,34.11,23.3,32.89,10,51,51
21.79,5.86,40.53,59.64,30,27,28
21.86,-3.42,51.99,58.23,69,59,35
16.84,24.1,22.89,37.58,49,41,39
21.48,9.19,29.51,52.96,40,42,52
19.06,39.44,28.09,38.17,54,53,44
14.17,56.03,28.11,48.83,89,86,59
12.7,9.47,17.87,33.92,47,33,40
20.18,23.43,17.31,29.16,47,26,50
14.09,17.41,15,21.03,23,22,19
64.3,44.41,33.78,28.16,32,33,39
16.09,18.5,14.5,29.75,40,25,44
33.25,24.72,30.97,55.31,28,24,23
30.68,27.21,30.3,46.66,41,42,47
11.11,7.58,21.66,50.83,53,41,49
21.72,25.99,27.14,33.57,35,47,79
20.82,24.26,27.69,41.2,24,40,35
9.5,6.25,32.23,54.53,26,31,24
17.66,7.25,22.65,29.44,46,33,46
20.87,13.22,38.02,69.74,44,42,51
17.26,17.79,25.09,32.96,41,30,43
37.72,29.46,30.35,54.31,16,50,51
24.14,26.89,49.21,76.05,47,48,37
13.13,20.55,18.88,30.43,56,37,60
17.59,18.48,27.54,37.87,26,22,28
23.09,19.4,43.38,64.17,52,40,55
15.37,19.4,23.02,49.85,41,40,37
17.07,23.71,19.33,40.48,31,13,27
20.84,16.01,29.44,42.38,37,60,25
27.77,17.45,32.06,50.39,67,57,61
17.58,22.12,10.99,47.5,30,32,26
82.71,62.77,56.93,74.05,48,41,38
15.1,18.64,18.63,37.84,54,55,52
8.66,12.92,17.14,28.34,26,10,24
2.61,25.28,14.11,31.84,38,25,32
18.94,33.36,12.9,25.63,48,43,47
32.64,25,45.37,47.46,42,41,44
11.44,0.79,5.63,42.4,40,31,47
18.18,24.33,17.12,19.58,24,17,19
48.61,40.26,32.65,39.75,67,30,51
16.32,16.57,23.45,46.28,27,27,23
9.7,15.61,2.53,6.19,26,18,25
66.17,29.42,36.88,69.14,45,43,45
17.51,17.23,22.74,30,31,18,15
40.06,21.53,44.91,62.45,45,27,56
13.38,6.72,26.97,45.4,46,41,46
89.1,54.01,51.43,85.86,38,42,38
19,20.39,32.52,51.01,65,47,44
21.64,9.81,-0.43,11.18,25,42,45
19,24.17,25.06,29.12,36,33,37
21.26,20.74,28.58,49.26,25,50,57
19.34,22.63,17.43,31.48,40,31,33
71.77,33.66,58.39,77.99,12,60,48
19.25,19.25,35.05,43.73,27,17,23
14.59,18.9,22.5,28.8,26,22,35
29.58,18.07,13.13,43.61,50,37,35
40.77,31.11,43.4,66.9,38,27,35
47.53,36.94,11.42,19.26,26,21,18
14.2,22.59,12.22,17.88,38,32,40
21.28,18.91,39.99,56.44,47,41,32
37.24,26.19,43.13,67.56,25,41,24
43.22,18.93,35.78,57.36,43,35,28
52.89,18.5,16.77,49.21,48,43,50
11.15,18.1,21.04,32.63,27,16,18
22.54,31.46,29.9,36.5,31,12,28
77.77,47.5,41.85,84.62,28,48,25
12.95,17.76,16.49,44.73,49,44,49
36.22,48.73,10.93,41.52,47,45,49
2.6,16.9,24.19,34.86,25,26,28
10.58,44.47,9.77,44.88,30,28,20
43.91,13.48,29.08,44.48,42,37,44
30.21,18.76,30.39,45.98,41,34,36
7.67,26.59,-1.53,12.32,22,22,26
98.41,59.04,61.2,68.11,54,92,33
17.8,12.76,25.65,33.29,38,33,43
28.16,37.23,16.39,26.69,21,15,23
5.76,7.4,20.47,45.56,26,26,19
7.12,13.82,19.1,33.36,27,28,19
10.82,19.43,21.84,29.28,38,29,35
22.27,20.03,18.38,32.58,30,40,37
24.46,20.27,32.57,32.13,55,47,34
14.19,29.66,22.56,49.5,39,30,45
18.08,18.77,30.67,49.47,52,31,60
23.92,20.74,33.6,53.86,94,101,86
24.57,1.13,23.33,40.21,44,27,46
12.84,16.01,19.17,28.63,88,67,69
19.19,15.28,24.21,34.69,50,28,42
16.43,25.87,18.46,44.97,25,36,39
14.96,6.58,18.4,37.96,44,31,45
17.54,15.27,-7.4,30.23,34,22,24
16.63,31.4,9.47,28.63,59,36,37
12,33.69,14.45,32.16,25,19,26
12.16,13.16,13.48,28.03,48,28,35
16.84,11.43,21.42,38.63,36,48,19
41.71,24.99,33.83,36.06,42,20,25
37.16,30.49,3.3,32.98,76,75,35
37.58,27.84,24.44,32.44,35,40,41
16.4,13.26,18.72,31.99,36,90,28
17.78,12.01,23.03,43.38,30,25,28
18.45,14.64,18.92,26.84,44,35,35
35.73,26.34,22.59,47.17,50,19,37
20.8,36.93,20.68,37.2,19,52,47
16.13,20.37,19.98,25.83,37,38,41
28.01,25.33,24.23,36.4,39,27,34
28.66,42.27,25.46,41.5,34,29,46
9.69,33.05,17.16,23.64,34,44,44
28.02,10.59,24.66,46.66,41,35,35
30.27,34.31,28.09,37.7,44,46,49
14.12,19.7,39.24,62.65,40,29,48
18.56,25.81,20.08,33.58,40,37,47
13.69,17.74,18.98,39.17,30,41,23
29.79,8.33,6.58,40.2,29,30,38
27.69,42.9,20.37,42.32,34,23,24
72.8,49.53,34.84,56.53,56,37,43
22.2,-0.33,28.02,44.2,70,63,57
15.43,22.6,22.33,29.56,27,24,27
61.75,70.37,76.69,91.59,93,86,62
18.19,14.13,31.62,55.72,26,24,20
25.71,13.72,22.39,27.33,25,40,38
14.42,37.51,13.08,34.36,15,48,58
15.56,19.26,26.77,36.47,34,38,41
9.01,17.84,15.01,39.77,42,32,39
22.73,29.21,28.53,25.55,41,49,70
40.01,29.45,50.11,68.14,38,31,31
26.22,22.22,22.25,45.43,46,25,43
19.96,13.37,20.46,35.96,29,16,24
47.15,40.6,59.19,78.76,46,42,32
2.91,14.23,10.55,36.85,60,50,42
26.05,38.35,28.13,47.85,39,46,51
20.55,23.5,23.7,27.73,35,36,40
25.86,22.33,37.68,44.18,21,30,26
22.2,22.52,18.77,27.28,46,23,50
31.42,25.2,38.97,55.85,24,17,27
33.61,37.7,52.5,66.63,37,23,39
24.81,24.78,19.84,45.09,24,27,19
56.63,48.48,59.86,72.53,27,33,20
97.13,70.67,67.7,89.82,16,47,33
17.44,22.42,13.41,30.75,31,20,22
25.65,47.92,25.83,24.79,35,64,40
18.65,17.8,25.46,32.25,32,47,55
21.89,28.95,25.68,28.09,68,54,39
30.13,11.68,18.22,46.21,49,42,41
40.38,66.45,30.89,57.19,39,27,38
21.5,5.65,16.64,36.92,41,37,41
35.41,13.28,16.84,40.57,32,31,28
77.03,48.18,26.64,63.92,25,21,27
21.1,10.66,21.87,33.24,82,51,41
17.63,15.45,19.67,41.17,48,29,55
9.6,4.43,18.62,45.76,42,42,47
26.44,24.38,33.59,47.33,24,26,17
15.29,34.44,23.81,35.82,26,20,22
9.6,24.38,20.22,31.28,35,10,20
14.61,12.37,18.87,44.28,46,36,46
35.87,33.08,37.7,62.38,35,31,27
16.95,29.89,13.2,17.6,29,64,27
37.66,34.63,24.94,40.7,57,43,48
66.09,38.37,25.03,71.41,51,46,38
26.58,8.94,11.53,51.77,71,45,51
71.06,40.29,50,69.45,78,73,40
19.99,15.83,28.35,45.54,21,21,21
18.57,18.5,21.55,40.83,23,22,25
26.18,14.98,24.72,40.41,74,58,49
40.04,43.19,42.68,52.27,59,38,36
19.87,27.64,24.86,47.23,43,42,45
49.19,16.63,24.22,40.27,36,45,29
19.36,14.54,17.54,31.07,36,23,21
26.85,6.3,29.81,58.55,19,25,21
33.75,25.07,54.09,63.32,39,31,39
14.7,13.49,22.93,41.07,46,22,49
22.49,18.4,20.98,50.45,44,37,53
25.12,26.38,21.79,26.04,80,63,46
62.01,65,42.72,34.77,41,37,43
23.45,22.85,22.4,33.45,26,50,58
17.95,15.91,18.93,41.7,87,96,38
16.72,20.92,21.2,28.61,44,33,42
25.92,20.51,47.36,76.83,24,19,19
22.77,14.6,29.4,35.22,43,46,40
13.35,17.58,24.2,30.13,45,47,48
54.34,66.96,40.14,77.3,50,47,58
20.76,20.21,33.54,61.16,46,33,46
18.53,20.73,31.6,54.04,47,33,38
40.07,29.64,38.01,45.79,34,86,26
19.83,25.43,20.77,36.82,27,20,20
28.27,31.17,22.71,43.5,63,48,36
14.7,13.52,23.01,35.71,30,26,36
13.36,12.76,20.19,36.56,43,36,42
24.95,22.69,27.16,41.62,39,102,22
17.64,8.6,21.48,49.84,20,27,20
16.83,17.38,26.88,45.46,43,24,41
7.77,12.54,12.2,29.36,49,21,27
29.3,23.53,25.84,44.89,44,36,40
23.11,17.06,16.28,33.42,37,27,45
43.41,23.44,20.76,41.86,17,11,17
22.98,21.74,18.33,26.12,34,40,29
30.94,18.78,30.29,41.6,27,18,24
22.49,12.2,30.25,60.6,44,39,51
51.74,47.86,63.35,70.91,67,77,27
17.67,17.63,19.67,37.44,40,39,21
88.83,31.09,53.78,81.43,30,28,21
15.85,21.01,21.32,40.5,58,43,52
24.7,17.14,26.76,40.72,41,39,50
15.05,20.96,22.42,30.16,44,77,22
27.45,19.47,26.79,36.29,23,27,17
11.69,6.9,16.52,29.58,52,47,45
13.7,10.62,24.64,38.73,14,21,19
22.16,11.53,25.6,50.73,32,20,21
12.98,15.59,23.95,38.05,38,48,54
16.13,27.19,22.9,39.62,21,36,17
17.91,5.26,25.48,40.62,40,39,27
23.12,20.24,26.57,47.35,107,104,94
18.38,13.43,22.32,40.24,46,35,47
33.11,21.1,23.37,33.81,22,37,18
17.68,19.86,12.87,31.13,36,43,58
73.34,48.87,23.44,46.74,58,41,41
15.03,13.7,27.82,40.4,49,40,46
30.92,22.38,29.43,39.93,64,80,43
38.22,15.82,48.89,55.77,30,6,42
7.94,21.71,21.49,29.02,41,35,44
33.44,-0.64,28.21,54.55,33,30,41
7.17,14.72,19.94,41.03,52,43,35
7.26,4.73,30.76,43.85,77,77,42
25.91,21.31,28.36,33.8,50,24,50
18.31,20.09,25.44,29.03,44,36,48
8.43,13.29,15.66,30.44,59,37,31
18.26,8.59,19.63,40.66,46,26,48
17.84,14.36,2.02,30.32,38,31,41
17.53,21.52,27.15,40.3,21,24,17
21.64,18.94,26.22,36.3,41,39,46
24.51,17.21,26.06,33.83,99,103,90
20.9,27.79,18.37,28.47,24,46,14
12.97,26.37,18.23,48.15,35,32,39
16.39,16.91,16.34,29.16,38,33,32
23.97,23.17,28.32,54.56,60,44,41
7.99,15.81,8.85,29,76,85,39
26.21,25.17,41.05,46.41,33,31,39
34.57,22.78,32.87,46.01,27,30,20
13.38,13.8,22.93,28,41,36,39
84.2,49.11,48.7,53.05,40,28,41
29.46,17.5,12.88,37.09,37,69,37
16.5,31.54,17.54,33.29,37,20,29
23.16,30.9,25.48,47.1,55,38,37
32.93,32.04,15.07,44.68,74,71,53
15.33,10.31,14.13,26.22,53,32,33
22.49,21.62,16.4,30.59,28,26,34
4.19,27.74,3.89,37.86,38,45,41
24.62,14.7,29.55,50.31,45,43,46
11.1,31.38,10.69,35.84,35,32,36
19.81,23.36,19.31,56.29,46,38,45
14.3,5,16.44,35,79,80,71
106.61,52.11,78.83,80.87,33,32,48
35.5,32.21,59.2,50.86,15,70,16
22.14,40.89,14.66,32.6,61,57,35
22.18,23.96,22.04,50.51,26,19,27
21.8,21.03,25.47,42.15,28,29,18
25.88,16.93,36.47,61.18,55,84,32
7.33,-4.32,23.09,35.07,38,28,46
61.55,31.06,14.82,38.55,13,26,21
22.79,28.38,23.35,46.24,17,42,22
11.44,20.9,15.49,35.26,38,42,45
9.47,8.45,30.96,45.89,50,32,42
7.91,15.53,1.47,10.67,42,31,34
20.33,18.64,26.7,39.18,41,53,53
34.15,25.76,12.92,35.99,33,26,31
44.28,30.19,42.29,51.59,24,32,31
21.45,21.97,28.55,53.23,55,41,48
26.96,10.45,32.92,47.73,30,26,31
19.72,10.3,22.51,42.55,33,37,37
20.17,15.66,28.7,51.35,79,80,54
53.65,27.92,37.13,71.41,39,42,41
28.53,29.06,27.45,40.54,43,42,50
17.6,27.88,17.84,29.66,39,36,46
25.93,21.27,29,49.7,39,36,35
22.74,24.43,31.99,40.54,36,31,27
32.4,47.03,32.94,52.69,54,38,38
28.11,26.6,28.87,38.57,43,46,46
12.53,19.14,19.47,35.87,48,32,42
42.65,26.14,49.61,57.72,43,44,50
21.69,13.62,26.28,39.02,55,51,47
20.3,15.05,23.72,45.49,49,82,27
34.96,7.34,10.12,32.66,49,64,39
15.02,18.43,22.5,42.56,39,39,46
18.25,19.58,25.07,38.92,29,58,20
18.21,19.63,19.74,23.54,62,105,22
38,28.04,42.72,50.29,59,42,50
81.61,54.92,43.95,56.28,36,30,37
73.15,65.98,45.32,83.55,44,31,49
40.64,17.37,21.15,46.07,50,57,38
20.36,18.59,22.18,30.05,42,43,39
13.43,7.33,24.61,48.06,57,39,45
14.99,12.33,28.65,54.38,38,34,39
11.05,11.99,26.58,40.4,39,51,57
16.76,22.58,29.57,31.84,17,31,56
26.68,25.6,30.86,26.26,25,29,25
34.71,25.23,32.79,46.78,36,42,42
29.14,30.91,32.84,38.33,38,35,34
15.56,36.8,23.83,41.43,68,55,44
19.93,15.88,27.57,50.44,47,50,37
25.76,22.61,37.82,55.8,51,50,47
24.51,4.96,36.42,41.27,50,51,46
27.31,14.36,12.74,44.17,41,43,46
4.05,25.52,-5.19,10.42,42,47,52
17.31,10.86,32.5,62.96,65,91,76
46.92,41.97,23.4,54.87,24,31,51
21.74,28.62,22.36,31.37,27,39,32
14.35,11.89,16.26,31.09,25,41,18
2.86,44.6,8.69,19.73,27,30,24
20.77,43.37,4.47,32.97,41,30,35
23.39,5.63,27.53,45.38,37,30,44
9.62,11.33,18.17,20.77,24,36,29
19.88,21.99,18.83,28.25,41,28,41
14.7,33.8,7.29,40.28,52,37,44
26.34,14.48,27.42,53.41,31,36,32
36.96,24.62,35.57,45.35,29,21,37
15.96,18.78,13.98,23.69,39,22,28
22.79,21.8,24.98,25.68,46,48,39
21.66,22.09,19.6,34.49,24,17,20
27.25,19,21.81,47.3,42,21,45
16.94,22.56,29.36,48.79,40,41,40
92.67,46.78,46.99,63.79,18,38,41
15.8,16.33,20.22,35.01,18,63,39
27.62,15.95,32.05,52.19,16,44,17
17.66,16.38,10.9,18.98,29,77,21
30.3,32.24,19.41,41.15,39,14,52
15.88,20.7,22.78,39.05,25,60,21
9.08,18.76,20.47,39.09,17,83,44
36.63,25.95,19.8,36.82,46,24,45
57.84,54.14,66.92,75.9,32,17,29
35.16,34.86,42.25,57.6,40,39,46
79.42,29.06,29.16,43.74,44,42,47
2.75,10.54,13.87,22.7,66,49,55
12.56,20.83,22.11,38.3,30,31,27
27.74,24.72,21.95,41.79,47,106,19
27.56,25.46,28.7,42,27,26,22
26.7,31.3,27.52,35.71,40,32,37
21.67,28.67,24.61,41.9,48,46,51
18.41,7.51,24.26,39.72,20,55,20
28.35,25.72,23.33,49.74,53,156,40
36.04,28.08,39.98,47.14,44,46,45
20.61,18.23,42.8,65.8,49,43,45
43.97,39.62,35.83,55.76,51,55,34
13.47,47.41,9.2,39.23,39,32,41
7.18,10.14,17.66,37.23,49,76,53
31.77,22.95,23.21,37.07,74,63,15
38.19,29.99,25.04,41.09,24,44,21
17.46,19.11,22.66,41.05,49,37,45
23.54,9.21,30.33,35.88,55,35,59
51.05,41,39.39,65.75,48,41,46
28.37,9.87,42.19,61.06,64,57,25
22.04,22.28,24.97,43.34,35,25,26
30.97,24.13,50.2,73.86,47,22,33
24.28,25.01,22.5,35.92,25,24,23
22.67,25.16,16.76,44.43,34,42,31
15.54,19.85,28.44,37.68,32,30,47
17.93,54.6,32.5,42.47,33,18,34
18.47,11.39,19.17,39.61,36,32,42
4.31,5.14,28.57,37.73,46,38,36
10.55,15.24,30.86,52.14,38,24,20
1.76,8.73,20.82,40.16,40,43,40
29.53,15,23.98,42.09,57,35,29
8.01,13.76,21.43,35.19,47,31,22
27.35,25.86,32.9,46.85,24,44,42
22.93,19.84,16.89,36.14,37,40,43
7.39,1.78,17.41,29.7,29,17,29
34.66,25.83,15.51,26.09,19,38,34
38.53,30.88,41.96,55.08,26,49,16
13.84,31.44,13.61,34,17,57,25
23.25,32.35,24.61,24.79,47,37,43
19.77,20.96,22.38,40.81,52,49,16
23.57,6.1,15.86,51.76,65,52,35
15.95,13.98,15.17,30.39,25,31,26
20.65,-4.11,13.67,36.93,43,43,41
12.23,10.69,15.66,38.42,25,37,39
41.18,55.32,41.41,54.84,38,26,46
18.06,22.4,32.8,44.74,36,28,18
10.98,15.24,6.79,38.94,43,39,44
24.43,14.94,26.35,41.62,41,43,52
30.12,27.44,26.45,58.56,43,36,52
85.15,34.56,36.02,39.37,53,83,40
36.04,22.96,47.32,60.39,35,21,31
42.44,49.09,39.68,58.41,28,44,51
25.55,23.2,26.09,38.2,30,16,20
20.04,16.03,19.4,45.2,59,116,76
27.06,30.84,28.25,38.06,27,52,30
27.41,24,15.3,38.32,42,49,45
21.03,24.55,25.52,38.38,73,63,84
10.95,16.49,19.9,41.16,22,22,25
1.8,1.38,11.9,32.49,20,42,45
23.5,21.23,54.38,74.41,37,37,25
9.86,17.75,19.98,26.4,45,40,36
39.4,36.53,55.68,76.85,36,27,31
11.62,18.28,19.08,21.08,39,43,46
39.14,22.18,18.23,58.37,44,31,32
6.97,10.18,18.78,11.72,29,25,25
28.36,12.76,27.21,47.7,51,51,52
14.8,20.33,21.29,28.52,37,52,22
12.06,12.91,16.26,34.67,64,49,59
37.41,42.93,38.5,49.74,60,52,34
17.35,24.7,20.69,21.39,55,70,47
18.03,22.47,23.23,36.43,44,33,48
38.52,58.34,37.35,49.41,18,21,18
37.79,20.45,46.94,64.19,32,29,28
15.1,2.48,35.41,53.9,41,47,27
19.87,14.06,20.52,38.04,27,21,32
