,Unnamed: 0,image,s,s1,s2,s3,s4,s5,s6
0,0,img_85_M.jpg,84.0,56.63,48.37,39.25,31,18,45
1,1,img_189_B.jpg,87.27,52.56,32.84,37.35,47,65,22
2,2,img_184_P.jpg,18.05,10.3,27.32,45.82,32,40,25
3,3,img_291.jpg,23.53,37.03,30.18,18.54,33,50,37
4,4,img_498_P.jpg,60.68,22.48,24.06,40.92,26,35,23
5,5,img_257_P.jpg,28.2,30.27,33.0,46.18,21,68,20
6,6,img_455_B.jpg,47.17,43.95,38.36,46.3,29,28,42
7,7,img_569.jpg,28.51,62.45,17.49,25.09,81,63,74
8,8,img_287_B.jpg,43.5,46.56,48.29,51.0,65,51,53
9,9,img_221.jpg,30.87,48.65,28.86,23.85,17,21,21
10,10,img_439_M.jpg,43.09,55.87,27.41,19.86,30,31,26
11,11,img_265.jpg,47.55,36.75,40.1,52.37,27,19,26
12,12,img_442_B.jpg,44.98,43.41,37.86,25.32,20,58,20
13,13,img_203.jpg,62.41,27.59,24.26,50.64,33,47,31
14,14,img_50_P.jpg,32.72,55.72,19.57,46.57,38,30,34
15,15,img_286_P.jpg,95.81,64.95,83.87,101.26,21,43,17
16,16,img_22.jpg,11.66,17.04,16.12,24.85,32,43,29
17,17,img_435.jpg,36.15,32.34,14.23,26.6,29,34,23
18,18,img_291_M.jpg,33.1,47.13,41.04,26.62,88,103,54
19,19,img_499_P.jpg,19.37,18.57,29.99,51.32,24,74,26
20,20,img_501_B.jpg,53.1,42.67,37.64,45.79,43,23,32
21,21,img_119_M.jpg,37.01,41.23,35.4,26.45,86,83,66
22,22,img_377.jpg,44.26,18.9,33.43,41.82,38,36,27
23,23,img_445_P.jpg,28.65,26.31,23.98,28.93,30,30,27
24,24,img_514_B.jpg,55.96,47.12,40.23,51.19,25,51,27
25,25,img_193_B.jpg,108.56,48.9,61.24,63.02,18,18,15
26,26,img_95.jpg,14.18,52.08,9.17,14.42,35,41,45
27,27,img_230.jpg,18.97,33.49,12.59,28.12,17,29,13
28,28,img_250_B.jpg,45.25,50.49,36.89,32.77,23,36,18
29,29,img_238_P.jpg,32.96,41.39,4.38,37.13,34,47,38
30,30,img_255.jpg,12.13,43.79,16.69,7.23,61,45,32
31,31,img_151_M.jpg,51.7,54.53,44.77,35.0,93,68,32
32,32,img_362_P.jpg,19.63,13.34,31.38,47.88,31,17,21
33,33,img_258.jpg,30.03,41.07,23.69,18.52,53,15,81
34,34,img_578_M.jpg,41.11,45.89,38.07,23.81,37,34,32
35,35,img_590_P.jpg,17.54,25.28,24.15,35.52,70,79,19
36,36,img_398_P.jpg,37.56,30.99,41.48,47.47,67,49,51
37,37,img_342_B.jpg,35.15,34.02,31.92,37.57,48,39,42
38,38,img_573_B.jpg,58.86,49.35,40.21,46.54,34,33,32
39,39,img_385_B.jpg,77.26,71.01,58.68,53.15,39,38,45
40,40,img_556_P.jpg,43.87,33.69,14.58,52.67,37,30,38
41,41,img_398.jpg,29.07,28.92,39.79,46.82,43,39,39
42,42,img_203_P.jpg,51.04,21.54,20.58,41.26,49,45,47
43,43,img_51_M.jpg,59.8,61.35,39.58,24.73,59,62,16
44,44,img_383_M.jpg,59.86,39.24,35.09,57.03,17,25,17
45,45,img_563.jpg,73.57,25.93,28.7,36.64,57,50,37
46,46,img_221_M.jpg,48.06,56.34,45.28,38.26,38,57,21
47,47,img_183_P.jpg,29.39,41.76,17.26,34.32,44,40,48
48,48,img_407_B.jpg,58.99,58.59,52.8,50.48,52,43,55
49,49,img_373.jpg,30.38,26.7,23.39,35.82,43,23,47
50,50,img_393_P.jpg,38.47,27.5,40.4,54.07,41,39,43
51,51,img_429_B.jpg,42.03,40.48,40.77,37.16,48,50,59
52,52,img_144_M.jpg,73.2,61.55,41.78,39.37,37,36,39
53,53,img_509_B.jpg,47.58,48.8,48.49,48.38,44,25,43
54,54,img_466_M.jpg,42.91,54.84,40.4,33.39,19,23,26
55,55,img_481_M.jpg,47.93,52.49,40.92,33.07,30,41,27
56,56,img_415_P.jpg,17.58,7.63,32.57,55.7,47,48,46
57,57,img_488.jpg,14.32,18.01,19.34,33.46,72,56,53
58,58,img_234_B.jpg,58.33,56.54,50.03,25.29,65,55,49
59,59,img_195_M.jpg,41.15,40.74,46.55,46.8,38,37,42
60,60,img_559_B.jpg,49.3,50.21,45.71,45.11,51,33,57
61,61,img_265_M.jpg,60.25,44.27,32.23,24.49,48,36,49
62,62,img_495_B.jpg,53.36,53.66,42.29,36.57,26,27,38
63,63,img_573.jpg,31.0,28.01,16.28,31.05,42,23,29
64,64,img_148_B.jpg,74.03,54.53,41.81,43.57,46,43,49
65,65,img_275_B.jpg,68.87,54.8,41.86,24.84,45,50,39
66,66,img_68_P.jpg,20.77,54.2,15.68,24.74,33,21,33
67,67,img_111_M.jpg,45.3,49.26,29.17,17.24,34,29,33
68,68,img_144_B.jpg,78.81,53.91,38.24,36.41,41,39,33
69,69,img_428_M.jpg,26.68,37.05,35.99,32.37,23,48,19
70,70,img_421_P.jpg,4.52,-0.23,15.3,25.61,33,27,46
71,71,img_357_P.jpg,44.27,28.63,41.96,60.68,31,47,23
72,72,img_104_P.jpg,48.77,36.1,29.2,44.65,29,24,29
73,73,img_528_B.jpg,48.31,41.54,33.85,40.93,33,31,27
74,74,img_285_B.jpg,45.01,44.6,41.94,52.36,34,18,17
75,75,img_417_P.jpg,46.42,46.7,53.14,73.81,32,16,34
76,76,img_366.jpg,34.11,29.82,25.11,28.15,21,22,21
77,77,img_149_M.jpg,57.7,51.23,24.65,28.37,53,44,56
78,78,img_310_M.jpg,39.81,41.1,37.77,38.8,24,55,57
79,79,img_147_P.jpg,14.79,15.12,23.26,30.64,48,47,54
80,80,img_465.jpg,28.37,12.06,44.93,63.76,19,62,50
81,81,img_290_P.jpg,29.46,6.71,36.0,51.82,51,40,47
82,82,img_485.jpg,15.69,23.23,17.43,29.75,43,33,52
83,83,img_41_P.jpg,17.65,5.3,27.82,63.18,44,49,45
84,84,img_547_M.jpg,40.76,46.03,26.73,29.87,56,33,41
85,85,img_469.jpg,67.17,52.71,36.93,49.78,40,42,54
86,86,img_347.jpg,30.24,29.66,40.64,41.05,46,26,47
87,87,img_294_B.jpg,48.37,50.89,42.49,46.61,20,12,23
88,88,img_593.jpg,19.82,4.28,54.06,67.64,27,19,26
89,89,img_47_M.jpg,43.9,47.2,37.58,33.69,42,27,33
90,90,img_402_M.jpg,39.3,53.63,32.19,19.75,32,26,28
91,91,img_556_B.jpg,75.01,51.61,35.62,33.26,43,25,44
92,92,img_458_P.jpg,20.64,28.25,18.81,39.12,48,41,49
93,93,img_499_B.jpg,58.64,43.16,45.71,45.47,25,27,50
94,94,img_113.jpg,28.08,15.1,50.18,74.78,107,113,86
95,95,img_75_B.jpg,50.53,50.51,50.78,49.92,52,48,47
96,96,img_558_P.jpg,17.32,27.47,23.67,41.24,29,16,16
97,97,img_208_M.jpg,58.07,42.66,31.91,29.28,51,43,49
98,98,img_162_B.jpg,45.68,47.73,41.51,43.44,24,12,31
99,99,img_61.jpg,17.95,25.84,22.44,36.4,29,16,20
100,100,img_296.jpg,29.53,28.86,17.84,37.76,38,28,35
101,101,img_185_M.jpg,72.07,48.38,31.04,20.31,38,30,33
102,102,img_240.jpg,20.24,33.5,21.18,22.4,44,28,36
103,103,img_76_P.jpg,5.35,12.34,15.46,19.77,34,46,43
104,104,img_49_P.jpg,20.71,31.13,6.22,39.6,20,31,16
105,105,img_439.jpg,10.17,22.65,6.46,22.65,26,15,20
106,106,img_315.jpg,10.97,21.88,16.86,18.84,55,57,92
107,107,img_117_M.jpg,43.21,47.66,36.62,27.97,38,36,42
108,108,img_435_B.jpg,62.69,59.7,37.64,50.23,10,56,11
109,109,img_151.jpg,35.3,39.56,28.92,26.57,47,27,29
110,110,img_518_B.jpg,61.95,63.14,48.65,39.91,45,46,48
111,111,img_29_P.jpg,26.62,17.07,24.15,52.53,69,30,50
112,112,img_137_P.jpg,13.91,9.17,22.4,52.37,19,21,28
113,113,img_523_M.jpg,41.46,49.41,38.75,30.58,17,39,48
114,114,img_136_M.jpg,37.13,40.1,43.81,35.18,50,44,52
115,115,img_129_B.jpg,43.83,46.16,42.91,40.28,49,44,46
116,116,img_27_M.jpg,39.91,40.84,35.12,29.38,36,27,45
117,117,img_16_B.jpg,54.59,35.54,30.34,32.32,44,40,42
118,118,img_392_P.jpg,22.39,20.26,32.43,56.64,36,26,36
119,119,img_309_P.jpg,23.09,5.52,37.38,42.05,16,44,35
120,120,img_377_P.jpg,26.09,18.85,22.67,43.19,41,34,35
121,121,img_379.jpg,33.21,32.46,23.44,25.8,24,39,36
122,122,img_522_P.jpg,13.33,18.42,17.32,22.04,42,35,31
123,123,img_511_M.jpg,90.25,67.25,46.48,54.33,16,63,51
124,124,img_328_M.jpg,34.73,43.27,28.09,24.4,27,25,27
125,125,img_143_M.jpg,46.61,50.9,34.09,30.63,26,21,23
126,126,img_491_B.jpg,41.28,40.46,37.05,43.3,57,54,45
127,127,img_7_P.jpg,26.85,17.81,29.62,46.28,60,53,46
