Original Image,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
68.73186457,90.60172665,112.8505686,146.9163631,104.5000451,120.2484819,126.3005056
138.1650999,133.3396664,145.4224301,157.4462025,136.6731895,178.9302729,303.8858283
28.88113968,52.98510595,80.81646795,115.9284338,66.46825272,163.0740221,147.7466401
18.7504986,69.68223927,93.10915741,124.6392939,54.94134154,106.8472365,160.0753615
25.96390331,79.13662813,115.2727818,124.268184,84.23870878,72.62987686,136.6709653
80.09461736,104.5513182,137.8689346,158.2440809,106.9403559,149.6470596,180.402531
36.53703021,83.31781832,94.69274878,126.4866474,83.08095141,90.86923436,123.7952743
75.64871987,91.70257347,114.8923512,144.9357701,104.293427,131.9268493,100.6435204
57.8123531,99.25318583,91.95321876,130.8715652,90.53953677,91.73880974,268.2214404
44.71781832,93.77705047,72.03467156,111.1936223,88.38148172,66.54036148,429.5046235
140.9889791,161.0334622,182.7776536,218.7405194,171.5747434,238.7426519,193.5095029
37.57961106,67.25711819,80.09812996,86.20678531,72.27341136,91.50577102,166.0528055
61.06387457,108.2157835,129.082265,134.3485019,114.1386715,146.9425428,147.1317725
63.33914961,78.30079724,104.4657512,116.2033331,100.8590571,120.2184756,94.74810356
53.28295621,95.93786101,91.55087903,117.8032076,98.57245364,186.4255883,222.8192007
34.80527019,93.33049684,99.49430347,136.7298896,72.10006831,88.01455046,161.597676
103.4011245,119.7917754,156.0004431,196.2639904,115.9133906,178.5221356,202.7936722
91.47946022,119.6818382,133.045167,127.3723251,129.474513,151.240694,282.1643849
82.26741241,87.93212227,119.0424112,158.3515741,97.85980478,128.3580287,91.45513052
92.42286589,108.0318345,134.5730121,200.887552,106.3215153,162.1700744,188.5665594
69.95396191,105.8894659,119.2499136,107.6280734,101.3432614,139.3266505,180.6998415
65.35593474,73.89967616,104.8090161,142.0207624,80.18057785,117.812307,114.6600171
191.6844992,187.9860602,184.1098538,196.3879371,163.685332,253.0749804,230.7330367
40.34519234,90.36292829,107.1059429,123.8061621,84.45861417,85.06543089,153.1272399
99.18509195,106.7104,120.8456956,123.24443,118.5117378,134.9267147,222.7807471
61.59108448,122.7254986,147.6948172,149.4213997,124.3501986,139.5940692,144.5351728
57.5936414,65.62870995,88.11049133,110.1958727,74.4058759,95.95826863,84.27189142
89.43974469,103.4939599,84.33489318,107.914178,97.35450547,108.6508068,392.124744
29.67681306,48.76695117,73.53879047,83.1976203,53.49851882,61.84987356,83.45960031
154.5831803,164.6145911,181.1297771,207.2468051,170.7855284,229.0484635,205.071548
25.62489031,75.87000018,109.6630006,125.5902275,87.35768763,60.88250932,133.1033173
122.6730094,110.9425437,120.8357477,145.3204594,118.0537957,207.224522,168.8050558
89.7617331,82.98717897,114.7236375,140.8140742,109.0885968,290.0888187,136.0596798
17.40784708,73.92998757,99.09675475,120.2046036,89.1928578,84.79682391,167.4539054
160.1287146,154.6261142,172.6723157,175.6227229,162.2362554,210.1877685,299.7450987
