Original Dataset Image,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
82.11775027,129.2321541,160.844176,196.3771713,125.7799853,161.7025873,219.7214809
68.44730777,138.2188595,155.628672,195.1919232,106.79593,154.2915629,275.2867772
91.30943802,110.2164532,130.3911494,128.8372345,119.242461,159.083463,136.0870093
24.81742896,83.80061842,111.2118314,152.3202829,58.48876772,134.5797479,191.9640862
64.81697852,85.14571238,118.6770876,173.4212445,83.75509774,128.3561028,105.5274917
65.91004477,131.1664833,146.2850391,188.6932279,111.1310249,144.3545302,157.8492569
60.78760691,127.9666181,134.929981,175.421704,97.54055639,116.4084667,155.0385045
85.34369655,104.148556,126.7368488,156.3307907,126.9205316,122.5295321,275.4613287
78.42228867,95.77499768,139.7046517,200.6995889,95.73890133,155.568903,207.736327
38.15573481,100.1610374,110.4490658,145.3454744,86.45546153,76.94640216,182.6186881
142.1557596,154.829095,162.2804428,201.5889065,140.0147223,220.9917978,196.174289
77.88258118,90.02148154,91.63875313,136.0831559,98.4857369,103.4528945,213.9612548
55.48610783,124.1056375,142.2811607,184.6531231,101.672942,114.614294,194.322265
114.094518,121.4437947,134.0525259,137.5312405,134.8104084,176.321923,237.0807398
79.4856774,97.66892804,108.6154465,130.8236152,101.8059533,116.4558961,243.5997952
82.66218519,105.9339092,122.8480963,164.2945777,110.8359544,140.9096976,130.9391908
63.62287772,98.47188932,125.8106054,162.3606881,99.02938838,112.507546,175.2216943
293.0303686,104.5522891,116.8380461,172.1412106,317.8289522,347.3695989,214.3845827
16.99326473,68.13982837,95.46229033,108.7929529,58.26521159,50.34140415,116.4872895
97.9909367,142.6122205,158.610042,175.3313722,132.5985272,183.1785387,281.1019779
45.95686254,97.16197063,101.8957442,133.5479936,89.22530514,117.2783047,138.3827005
69.86016113,91.92778525,108.5155761,127.2141631,94.66143289,124.1657213,163.7807494
42.66228263,76.88132185,85.67900188,124.4356797,64.4304253,145.3608953,184.5798408
125.6929072,122.0125334,144.0503712,183.6576735,136.9701035,175.434804,184.3878549
98.85181176,142.0736191,158.6224483,194.0753602,131.2427857,184.3135903,222.8808912
82.8629243,104.1641483,81.66738757,99.68758977,94.49072426,102.7022186,355.1365452
61.32344487,110.4708859,116.5626869,142.0743508,95.21205171,99.22796661,242.2452222
30.13448725,117.6884037,130.7583754,153.8586984,77.94611413,68.72557327,248.8544434
