Image with Poisson Noise,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
138.1650999,133.3396664,145.4224301,157.4462025,136.6731895,178.9302729,303.8858283
103.4011245,119.7917754,156.0004431,196.2639904,115.9133906,178.5221356,202.7936722
82.26741241,87.93212227,119.0424112,158.3515741,97.85980478,128.3580287,91.45513052
92.42286589,108.0318345,134.5730121,200.887552,106.3215153,162.1700744,188.5665594
191.6844992,187.9860602,184.1098538,196.3879371,163.685332,253.0749804,230.7330367
122.6730094,110.9425437,120.8357477,145.3204594,118.0537957,207.224522,168.8050558
89.7617331,82.98717897,114.7236375,140.8140742,109.0885968,290.0888187,136.0596798
160.1287146,154.6261142,172.6723157,175.6227229,162.2362554,210.1877685,299.7450987
143.4716007,148.3770385,143.9101796,181.7162898,126.0210007,176.2047568,135.1179606
154.444387,152.2585593,176.4562404,221.0862047,157.620942,224.6807114,217.5829657
162.058873,158.6827305,185.1713602,191.4914456,162.3472336,240.9479094,216.3595485
112.8292023,129.0149153,151.3376716,161.3917301,134.2485037,194.230779,219.8313411
97.31337834,104.1506197,128.686799,155.655673,129.6348145,140.931059,101.9163889
129.9537106,125.5714911,122.6655331,148.4342444,118.9783053,165.3637847,130.8908016
80.17821901,77.85754504,111.9626103,114.1223603,88.72635277,125.666259,239.2564831
162.441568,152.5493279,168.091597,215.4750521,147.2923894,207.5656669,177.9058366
159.1138214,168.1644917,167.7194535,193.6253092,151.2232644,231.8454719,238.5898711
104.1623405,115.1695827,123.2031927,175.4984014,107.4740595,145.2112554,148.2854134
73.32442853,86.80778019,103.7062106,157.6442529,102.7980508,125.3972444,96.67833553
123.2316916,135.1949463,142.4124133,189.168958,126.892921,194.3957851,160.86767
126.0694392,126.8936288,131.2136909,167.3180423,115.2714456,147.8164896,161.067871
71.6830453,61.32834111,33.13618225,50.19817089,71.70382163,78.24198779,323.2793445
133.5820584,131.9436507,143.4705627,161.8537289,126.9289565,173.2688541,166.0869423
94.61787983,108.5588183,140.8426405,159.1104713,121.7100628,168.1301404,117.3716536
120.6793198,118.939996,132.0714045,125.4407655,128.3162557,129.162166,302.9642855
136.5040491,138.2748967,154.9500656,215.8532083,121.1726767,197.7074994,229.5562933
137.0885286,138.9646028,137.822928,164.6394171,124.3286698,190.281997,212.1750079
110.9760491,117.8842433,134.0421733,162.0823611,133.4200995,182.0028494,266.7745916
91.02806277,115.334173,132.9684016,159.9177312,118.1185507,157.4737152,164.7155016
66.34330614,122.859707,141.0663346,176.4127644,101.0599513,107.4332805,237.783162
128.8997686,132.1247099,123.9509141,148.069166,119.3993181,138.7370902,125.9199629
132.956531,133.3502202,166.1614073,212.7239212,151.6275429,187.4989808,249.4778732
44.87922568,90.97616,116.5417462,166.0222078,79.7764065,90.36112094,114.7202101
171.1039154,172.352106,164.0600097,207.8697981,131.2040925,187.3534406,165.5177677
209.7626552,182.701707,182.4827594,209.397084,137.9117084,242.7971393,228.7564771
