Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
32.98,35.49,34.83,37.82,23,27,26
47.1,31.13,63.79,28.11,21,32,21
15.55,27.19,17.75,9.51,21,27,16
12.62,15.48,12.63,9.57,14,13,20
15.57,20.16,22.9,11.22,14,18,19
27.99,32.07,22.48,30.27,21,40,32
16.6,13.25,13.27,8.86,12,9,9
19.11,35.47,36.37,24.58,21,23,29
13.96,13.99,13.88,8.82,10,14,10
15.61,15.48,17.7,19.56,14,20,20
14.24,16.83,14.92,24.45,24,13,17
19.77,12.58,20.79,15.78,13,14,17
14.9,19.56,21.73,13.01,14,19,15
25.85,13.87,14.72,14.09,13,16,16
17.8,12.76,22.47,32.57,20,24,13
16.59,16.65,14.65,18.01,10,16,12
28.09,23.7,15.26,21.98,18,21,15
20.96,17.51,17.95,12.3,11,10,13
16.97,16.38,13.63,12.24,16,15,12
19.85,14.85,13.58,10.94,11,14,11
20.53,30.27,32.24,13.16,28,38,24
25.68,35.61,55.01,40.88,17,41,22
17.66,16.21,12.43,11.57,15,17,13
20.9,20.86,14.75,12.74,10,18,19
19.74,19.36,21.68,19.75,22,14,19
20.54,15.62,14.97,11.57,12,12,11
14.13,12.46,15.29,10.32,12,13,9
20.85,28.66,21.04,19.88,14,17,24
23.56,15.68,17.14,17.69,22,19,19
25,26.92,24.83,23.61,30,12,11
15.09,13.06,16.99,7.43,9,10,11
14.68,13.92,13.37,10.28,12,15,8
30.59,40.57,29.54,22.85,11,18,16
15.62,16.15,20.13,11.37,14,20,25
13.68,13.06,23.76,12.86,15,18,13
21.98,34.67,23.12,16.9,17,20,16
19.53,13.46,16.35,12.42,10,17,16
15.7,13.3,15.36,11.47,20,16,10
52.61,21.65,38.47,30.11,18,39,32
32.16,32.44,35.32,46.88,41,33,24
22.75,13.44,16.26,13.46,12,17,12
34.43,49.47,30.51,28.34,15,20,26
20,15,25,19,30,22,25
16.58,16.07,17.05,12.4,17,14,12
15.52,27.49,23.05,9.59,12,15,24
25.45,27.09,25.65,24.54,17,18,31
19.96,23.81,30.64,37.13,21,19,17
22.28,23.86,20.12,13.43,23,15,23
17.84,17.26,21.69,24.55,11,19,14
37.36,29.88,33.39,23.84,15,24,16
19.9,17.76,14.21,15.47,14,12,12
18.56,16.56,20,12.4,11,17,14
14.74,15.16,12.75,11.97,10,13,14
66.58,35.67,50.43,21.38,21,15,22
17.01,20.74,14.82,9.7,11,18,14
14.34,15.24,16.49,9.89,11,23,13
45.75,32.27,58.39,20.83,29,38,24
14.39,14.46,21.89,12.05,11,15,12
14.06,14.52,12.28,10.97,9,10,10
16.32,17.98,16.22,15.28,18,10,12
16.52,18.37,17.84,19.08,19,26,13
14.36,16.85,13.81,9.09,10,15,14
15.58,13.36,17.95,12.92,13,19,12
13.41,13.73,15.76,9.61,7,16,10
15.74,16.71,19.56,9.57,13,13,16
21.39,19.33,19.92,15.26,16,23,15
20.79,26.02,25.47,17.19,22,22,14
15.92,14.01,14.1,10.74,15,19,12
17.59,18.4,22.08,18.36,16,11,18
15.81,23.87,27.6,23.67,24,30,23
17.7,23.49,18.94,13.57,11,15,19
14.77,19.05,37.72,19.81,39,18,17
19.58,23.86,28.08,11.95,17,25,21
17.78,16.59,17.16,20.33,13,10,15
14.61,12.63,13.02,12.4,11,14,12
34.36,39,15.42,17.37,21,22,28
24.4,17.1,23.4,38.3,18,9,19
15.68,12.83,16.75,11.39,10,17,13
21.8,24.76,19.01,29.82,25,21,15
27.36,29.15,29.53,23.66,22,36,20
12.98,14.75,12.74,11.08,13,10,16
19.41,21.14,11.09,10.94,9,15,10
33.95,33.19,43.04,18.73,27,17,18
19.08,22.08,19.54,16.61,14,17,9
24.43,17.46,21.62,15.88,19,14,20
25.41,20.44,15.5,23.94,17,20,13
19.87,24.36,23.35,14.03,10,14,20
14.11,15.54,14.02,12.19,10,17,17
