Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
17.66,14.52,16.69,19.71,16,20,14
15.8,20.74,16.51,18.74,15,16,25
24.06,32.57,20.26,26.98,20,29,17
14.56,14.04,19.83,16.17,20,23,20
16.11,22.29,23.88,14.21,12,16,17
16.97,15.38,14.14,11.15,11,12,13
20.14,39.61,17.62,13.84,23,18,12
13.57,18.5,22.26,12.97,17,17,22
19.82,25.97,31.42,25.21,28,21,29
17.86,22.39,16.46,13.6,17,18,20
23.37,12.08,10.87,8.96,11,20,24
14.91,15.4,19.79,17.68,10,16,12
13.47,18.53,13.55,14.75,13,15,14
17.39,14.06,17.41,19.59,14,22,23
16.65,14.78,15.66,20.59,12,22,15
22.74,19.46,18.7,14.71,20,21,10
38.67,28.56,27.92,18.53,28,25,25
22.36,19.02,33.78,46.55,16,23,25
20.59,16.1,16.23,8.71,12,15,20
12.87,20.73,16.39,14.99,15,18,15
44.64,23.85,66.94,34.29,18,33,25
14.23,12.21,16.13,16.68,13,20,18
25.94,24.78,31.76,18.23,28,22,19
19.77,14.71,16.62,18.49,13,16,12
15.36,19.06,16.45,11.02,12,13,22
20.64,17.46,22.75,18.73,14,15,20
16.9,20.25,29.57,22.9,25,24,22
14.83,19.02,13.28,13.49,12,13,11
16.68,13.69,12.98,14.64,11,12,12
16.63,18.77,17.78,10.25,14,14,19
12.1,11.36,13.61,14.84,10,15,17
25.8,33.63,23.7,40.67,28,29,25
18.18,13.36,17.74,16.78,16,14,12
16.71,15.82,16.78,15.6,10,16,14
20.78,17.04,16.92,23.06,15,9,13
16.85,13.8,16.86,13.27,12,10,11
21.64,21.29,19.15,15.73,14,23,16
14.16,13.02,17.85,18.98,13,16,10
17.99,16.95,12.27,17.42,10,15,15
14.78,14.57,14.67,18.55,9,14,15
20.31,17.93,29.52,24.58,18,16,20
18.43,17.43,20.56,21.94,23,22,22
15.78,14.44,31.09,25.1,29,19,18
19.44,17.59,22.18,29.85,17,26,25
