Original Dataset Image,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
37.62,29.76,19,15.39,24,23,22
8.92,11.82,9.95,11.64,12,9,12
11.47,16.43,17.93,18.46,15,10,20
8.74,10.99,8.98,8.7,10,8,8
12.62,7.93,12.75,20.35,12,11,9
17.28,14.29,22.11,14.62,25,23,25
15.24,14.18,11.82,9.42,11,12,23
12.57,20.14,16.66,12.2,11,16,11
12.64,16.78,14.69,20.82,12,18,15
14.83,20.91,19.19,12.24,10,18,12
14.74,13.37,10.25,15.36,22,10,27
7,6.72,5.44,6.44,7,5,7
14.2,26.06,16.63,9.55,15,15,10
21.18,26.24,14.08,19.75,12,10,13
14.34,21.07,17.47,8.26,8,15,9
15.58,29.93,18.63,13.3,18,15,24
11.21,12.25,13.01,9.55,8,15,9
10.94,10.37,12.05,14.65,14,12,10
14.07,13.57,14.42,11.57,13,16,11
22.01,23.3,12.96,12.93,18,13,11
19.44,20.71,15.44,13.72,37,11,15
15.99,15.44,18.83,18.36,17,16,9
12.34,10.19,10.72,8.2,13,9,10
12.53,20.64,17.5,13.32,8,14,12
8.74,6.68,8.69,10,10,9,8
17.46,17.34,13.69,11.79,14,17,11
20.08,17.74,19.01,19.12,15,20,12
15.76,34.79,28.95,18.82,24,37,15
9.61,13.06,12.07,11.92,17,11,10
22.96,20.53,19.95,20.59,12,12,11
9.62,15.94,10.46,11.3,9,10,14
18.35,27.28,24.22,13.21,11,13,10
16.98,19.74,14.97,17.38,22,14,19
15,17.76,12.79,10.19,8,19,20
13.67,11.93,13.77,17.39,11,10,12
11.43,15.55,14.03,7.1,8,10,10
12.46,15.22,14.53,8.82,12,12,9
13.15,10.85,7.84,10.26,8,15,21
10.86,10.68,11.75,8.05,10,14,8
11.39,16.3,19.93,23.67,8,12,19
9.8,7.98,8.39,11.24,9,10,9
35.25,26.47,22.28,29.48,35,12,23
17.54,14.76,12.88,10.7,18,9,10
8.45,13.77,10.53,8.77,8,14,20
14.49,18.92,12.93,15.54,11,10,13
11.46,11.69,14.45,13.15,13,11,12
23.8,19.27,15.69,11.72,19,10,11
19.88,17.69,14.11,9.81,15,16,11
16.33,39.22,25.13,18.69,11,13,11
8.45,16.41,10.29,9.24,11,14,20
7.48,8.57,8.15,8.42,6,8,11
14.55,12.7,19.15,7.92,12,12,11
21.68,16.94,16.36,15.34,17,9,15
10.04,11.1,11.67,10.62,21,8,14
32.21,29.7,18.76,21.79,11,8,13
13,15,17.78,8.84,10,11,13
14.3,29.17,16.61,10.53,14,16,30
25.85,27.13,29.63,31.99,14,24,16
11.75,13.79,25.95,17.78,23,13,27
26.81,15.43,31.05,27.47,13,17,12
19.26,17.45,17.02,15.3,11,11,11
26.36,15.59,15.23,18.17,11,13,10
12.96,14.72,15.75,8.97,12,8,17
11.35,13.02,16.44,30.51,11,14,15
16.5,22.41,18.23,11.74,9,17,9
26.21,17.95,18.76,14.47,13,28,16
11.49,22.91,19.44,15.01,9,11,13
24.05,20.97,29.3,31.33,28,13,23
13.87,13.8,11.02,8.81,9,9,9
18.39,19.29,23.36,29.86,15,17,14
10.47,14.78,16.65,17.32,12,8,14
19.3,15.89,13.47,13.38,20,12,10
16.54,17.48,32.31,20.79,19,8,13
8.55,11.13,7.14,8.7,9,11,10
16.38,13.54,28.37,13.42,17,27,14
8.08,12.04,11.93,8.98,12,10,35
11.48,14.56,11.5,15.01,7,10,11
15.26,16.05,15.17,7.94,13,9,8
10.69,11.57,10.72,10.17,13,8,9
10.75,7.73,7.06,12.08,15,8,10
15.43,15.85,13.23,11.76,12,11,13
11.09,15.82,10.7,15.78,16,13,27
21.27,13.41,13.65,9.82,19,19,11
9.08,9.67,9.95,9.92,12,11,11
9.27,15.41,10.03,9.56,9,10,16
15.42,21.76,22.42,34.16,29,24,24
11.89,15.99,13.57,12.41,13,17,12
16.14,25.94,36.02,18.51,12,31,44
9.86,15.09,9.74,8.38,9,10,13
19.38,25.4,17.47,11.75,11,12,25
10.28,16.35,9.28,9.14,9,8,8
13.25,18.84,18.31,11.64,10,15,10
17.26,19.16,18.14,27.96,11,20,15
16.65,22.89,18.25,16.73,10,21,9
19.26,21.1,16.22,9.77,16,18,18
44.37,18.38,26.87,10.88,27,20,18
15.28,20.09,15.83,11.6,10,14,9
16.82,26.63,32.38,13.48,18,29,13
25.13,15.66,15.63,21.94,12,19,17
15.24,14.74,22.96,17.29,12,25,14
12.06,12.41,15.53,9.91,8,11,10
10.28,8.38,12.6,15.49,16,10,10
17.35,22.37,14.39,13.14,17,14,14
10.25,7.9,8.55,9.24,7,9,13
8.64,12.3,11.32,10.81,12,9,9
14.33,13.24,15.52,8.76,9,17,9
14.73,15.11,15.79,13.66,12,24,13
15.34,54.65,18.42,16.09,35,21,14
13.53,28.16,14.44,12.87,16,11,15
14.91,14.11,14.61,22.07,26,14,26
16.21,16.63,31.58,29.52,25,17,22
10.08,12.3,10.84,8.69,10,9,11
28.48,25.42,12.52,12.43,26,13,21
9.72,21.91,13.03,9.67,13,8,9
19.65,26.95,27.08,13.2,18,20,28
47.12,59.61,41.85,38.38,26,12,48
13.67,12.24,11.34,8.76,9,7,9
22.16,16.56,11.09,10.17,16,17,18
24.16,16.78,15.09,9.55,20,21,13
14.12,17.89,15.18,17.33,11,7,14
15.66,17.67,22.7,13.68,19,11,13
14.53,26.73,19.17,31.14,19,14,16
16.19,20.62,22.7,9.62,15,20,10
18.38,11.57,13.99,9.16,8,14,22
25.25,19.91,18.69,11.03,14,15,15
18.04,25.2,21.73,15.9,14,19,18
25.83,17.44,22.75,18.93,21,18,12
18.62,14.21,18.61,25.12,17,17,12
17.95,16.26,14.76,12.91,13,14,13
11.56,12.34,11.86,10.23,12,10,12
14.77,20.85,30.01,9.66,12,18,12
15.09,15.18,15.73,9.14,9,18,10
16.14,17.52,17.03,18.12,26,12,10
12.75,19.25,16.43,14.44,12,14,15
7.46,11.65,10.84,11.4,9,10,12
15.3,17.98,12.02,15.31,15,11,13
12.63,13.08,22.13,16.14,14,12,13
15.94,19.45,23.85,21.04,21,14,14
9.57,14.82,13.48,13.63,11,10,15
14,14.78,12.17,9.07,10,11,15
10.14,10.33,10.38,9.14,10,8,9
7.28,8.78,7.53,8.59,9,7,10
20,15,25,19,30,22,25
14.33,13.79,12.99,11.13,10,12,13
22.36,17.92,19.61,18.9,16,17,12
17.96,15.45,19.14,7.4,14,14,11
8.55,13.19,12.69,7.73,8,12,8
6.99,11.38,7.92,7.74,7,12,10
10.28,18.02,11.07,11.31,16,13,12
17.11,14.8,14.42,11.49,7,11,15
10.25,22.45,12.65,13.69,8,10,11
24.2,23.34,31.86,16.09,24,17,27
16.93,14.46,34.38,16.4,13,10,13
6.73,9.48,7.85,9.69,22,7,8
11.88,11.73,13.53,15.74,11,15,12
22.17,25.3,35.98,13.35,21,17,18
9.72,9.25,10.44,9.23,10,10,13
18.94,36.59,30.16,11.1,28,14,16
15.47,16.32,21.35,15.12,13,9,17
16.93,25.91,13.79,11.12,8,19,10
12.51,16.34,11.01,16.43,16,15,34
15.61,17.01,19.06,10.63,11,17,17
9.23,10.88,9.8,9.29,8,11,13
9.47,16.75,10.76,11.2,12,13,10
6.67,8.95,8.91,9.44,21,11,42
9.16,12.66,10.34,9.72,11,9,10
19.08,27.04,32.95,15.34,17,19,12
21.39,22.21,18.99,11.04,9,17,12
9.94,12.08,10.6,10.39,15,10,13
10.02,14.32,9.26,10.03,12,10,12
15.19,34.28,23.57,15.33,27,25,28
11.73,12.71,12.55,12.77,14,12,12
13.13,22.31,13.77,12.27,13,10,13
23.27,23.71,21.57,24.78,21,15,20
26.7,28.39,34.08,25.9,22,21,17
25.33,25.78,18.45,24.66,16,22,30
12.12,17.08,12.04,10.74,9,10,12
19.32,15.33,14.17,14.76,13,15,15
11.68,14.38,10.4,8.2,8,9,13
16.86,19.47,21.9,12.73,18,12,15
