Image with Poisson Noise,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
9.72,12.2,10.16,11.47,16,9,13
7.66,10.43,8.69,8.5,9,8,11
8.41,17.48,8.84,9.61,11,10,16
10.01,12.98,14.99,14.86,15,22,19
10.38,17.61,12.33,9.33,13,11,13
14.74,26.93,13.29,12.43,16,18,20
8.97,21.3,8.26,8.18,10,8,11
6.63,7.69,6.29,6.53,6,9,9
10.41,9.27,8.63,10.98,8,13,10
8.91,17.53,10.2,9.93,22,15,14
18.13,36.12,16.73,12.56,12,14,11
11.54,8.85,12.63,12.35,10,12,15
10.77,19.5,11.62,11.51,10,11,12
12.69,12.76,14.24,9.98,11,9,9
9.07,9.3,9.34,10.21,9,9,13
10.83,17.91,11.27,8.91,11,9,11
18.56,18.9,12.32,18,14,10,17
12.03,17.03,12.32,11.54,13,12,20
8.79,11.07,8.78,9.92,9,9,11
19.16,9.13,16.13,14.78,12,17,11
15.38,23.44,18.2,12.57,14,27,14
9.43,11.76,10.72,10.31,11,11,13
12.72,24.43,21.83,13.78,17,11,35
12.85,12.74,9.1,9.93,11,8,15
24.31,21.84,23.45,13.69,14,15,19
8.95,18.07,8.54,8.42,12,13,17
23.9,26.11,22.83,15.66,10,27,16
9.28,10.82,11.72,8.15,15,8,18
13.18,24.17,25.8,21.52,15,14,10
10.91,14.16,10.13,8.77,16,9,10
10.5,13.17,11.35,11.07,8,11,12
8.51,7.3,8.45,8.4,9,8,10
8.65,12.51,12.04,9.21,15,11,9
24.66,24.55,19.67,21.58,21,26,16
7.99,7.19,7.33,7.69,8,8,9
9.41,12.02,10.4,8.89,9,8,16
16.47,21.17,17.6,9.65,16,15,16
7.84,8.17,8.79,8.51,16,10,11
8.91,15.02,10.2,7.89,8,8,10
11.66,11.1,16.02,13.37,12,12,11
22.99,23.37,13.27,12.35,20,12,13
9.8,13.21,6.96,8.31,10,8,9
11.34,15.94,26.13,10.69,13,9,17
6.61,6.36,7.16,6.92,9,6,7
16.46,16.98,13.18,8.9,17,13,12
9.23,10.28,9.87,9.28,14,10,9
10.17,14.44,10.9,12.46,16,12,24
18.8,25.66,26.41,14.02,12,11,14
11.53,14.61,13.33,9.45,17,8,9
7.92,13.69,7.21,8.02,10,7,10
