,Unnamed: 0,Unnamed: 0.1,image,ns,ns1,ns2,ns3,ns4,ns5,ns6
0,0,0,img_233.jpg,10.25,22.45,12.65,13.69,8,10,11
1,1,1,img_114.jpg,14.07,13.57,14.42,11.57,13,16,11
2,2,2,img_212_M.jpg,17.66,14.52,16.69,19.71,16,20,14
3,3,3,img_111_B.jpg,32.98,35.49,34.83,37.82,23,27,26
4,4,4,img_290_M.jpg,15.8,20.74,16.51,18.74,15,16,25
5,5,5,img_533_B.jpg,47.1,31.13,63.79,28.11,21,32,21
6,6,6,img_539.jpg,9.36,9.39,8.96,9.8,10,8,11
7,7,7,img_437_M.jpg,24.06,32.57,20.26,26.98,20,29,17
8,8,8,img_26.jpg,16.86,19.47,21.9,12.73,18,12,15
9,9,9,img_186_B.jpg,15.55,27.19,17.75,9.51,21,27,16
10,10,10,img_499_P.jpg,9.72,12.2,10.16,11.47,16,9,13
11,11,11,img_344_P.jpg,7.66,10.43,8.69,8.5,9,8,11
12,12,12,img_289_B.jpg,12.62,15.48,12.63,9.57,14,13,20
13,13,13,img_231_B.jpg,15.57,20.16,22.9,11.22,14,18,19
14,14,14,img_523_B.jpg,27.99,32.07,22.48,30.27,21,40,32
15,15,15,img_37.jpg,12.2,17.0,11.7,12.23,18,11,14
16,16,16,img_235_B.jpg,16.6,13.25,13.27,8.86,12,9,9
17,17,17,img_492_B.jpg,19.11,35.47,36.37,24.58,21,23,29
18,18,18,img_419_B.jpg,13.96,13.99,13.88,8.82,10,14,10
19,19,19,img_574_M.jpg,14.56,14.04,19.83,16.17,20,23,20
20,20,20,img_346_B.jpg,15.61,15.48,17.7,19.56,14,20,20
21,21,21,img_414_P.jpg,8.41,17.48,8.84,9.61,11,10,16
22,22,22,img_487_P.jpg,10.01,12.98,14.99,14.86,15,22,19
23,23,23,img_215_M.jpg,16.11,22.29,23.88,14.21,12,16,17
24,24,24,img_305_B.jpg,14.24,16.83,14.92,24.45,24,13,17
25,25,25,img_558_M.jpg,16.97,15.38,14.14,11.15,11,12,13
26,26,26,img_178_B.jpg,19.77,12.58,20.79,15.78,13,14,17
27,27,27,img_467_M.jpg,20.14,39.61,17.62,13.84,23,18,12
28,28,28,img_318_P.jpg,10.38,17.61,12.33,9.33,13,11,13
29,29,29,img_231_M.jpg,13.57,18.5,22.26,12.97,17,17,22
30,30,30,img_424_P.jpg,14.74,26.93,13.29,12.43,16,18,20
31,31,31,img_55_B.jpg,14.9,19.56,21.73,13.01,14,19,15
32,32,32,img_42.jpg,9.26,7.52,10.17,8.57,11,8,13
33,33,33,img_294.jpg,10.98,30.14,13.07,11.94,13,10,12
34,34,34,img_83_B.jpg,25.85,13.87,14.72,14.09,13,16,16
35,35,35,img_396_M.jpg,19.82,25.97,31.42,25.21,28,21,29
36,36,36,img_197_B.jpg,17.8,12.76,22.47,32.57,20,24,13
37,37,37,img_8_B.jpg,16.59,16.65,14.65,18.01,10,16,12
38,38,38,img_47_M.jpg,17.86,22.39,16.46,13.6,17,18,20
39,39,39,img_190_P.jpg,8.97,21.3,8.26,8.18,10,8,11
40,40,40,img_81.jpg,14.53,37.17,21.67,14.74,20,14,26
41,41,41,img_65_P.jpg,6.63,7.69,6.29,6.53,6,9,9
42,42,42,img_393_P.jpg,10.41,9.27,8.63,10.98,8,13,10
43,43,43,img_209_M.jpg,23.37,12.08,10.87,8.96,11,20,24
44,44,44,img_268_B.jpg,28.09,23.7,15.26,21.98,18,21,15
45,45,45,img_252_B.jpg,20.96,17.51,17.95,12.3,11,10,13
46,46,46,img_186_P.jpg,8.91,17.53,10.2,9.93,22,15,14
47,47,47,img_338_P.jpg,18.13,36.12,16.73,12.56,12,14,11
48,48,48,img_470_B.jpg,16.97,16.38,13.63,12.24,16,15,12
49,49,49,img_340_M.jpg,14.91,15.4,19.79,17.68,10,16,12
50,50,50,img_383_P.jpg,11.54,8.85,12.63,12.35,10,12,15
51,51,51,img_233_P.jpg,10.77,19.5,11.62,11.51,10,11,12
52,52,52,img_8.jpg,19.34,15.86,22.65,18.89,14,9,9
53,53,53,img_567.jpg,6.98,7.28,8.22,9.98,10,8,10
54,54,54,img_72_B.jpg,19.85,14.85,13.58,10.94,11,14,11
55,55,55,img_35.jpg,10.94,18.55,12.38,19.65,41,15,15
56,56,56,img_281_P.jpg,12.69,12.76,14.24,9.98,11,9,9
57,57,57,img_291_M.jpg,13.47,18.53,13.55,14.75,13,15,14
58,58,58,img_510.jpg,8.87,12.79,8.07,7.53,10,13,11
59,59,59,img_61_P.jpg,9.07,9.3,9.34,10.21,9,9,13
60,60,60,img_102.jpg,17.28,14.29,22.11,14.62,25,23,25
61,61,61,img_82.jpg,6.0,9.9,7.74,6.34,8,6,9
62,62,62,img_106_M.jpg,17.39,14.06,17.41,19.59,14,22,23
63,63,63,img_592.jpg,29.93,47.32,25.96,20.04,29,22,42
64,64,64,img_79.jpg,33.83,32.96,16.06,20.16,15,11,63
65,65,65,img_144_P.jpg,10.83,17.91,11.27,8.91,11,9,11
66,66,66,img_349_B.jpg,20.53,30.27,32.24,13.16,28,38,24
67,67,67,img_407.jpg,11.93,13.17,12.14,11.71,16,13,16
68,68,68,img_590_B.jpg,25.68,35.61,55.01,40.88,17,41,22
69,69,69,img_185_B.jpg,17.66,16.21,12.43,11.57,15,17,13
70,70,70,img_505_P.jpg,18.56,18.9,12.32,18.0,14,10,17
71,71,71,img_392_B.jpg,20.9,20.86,14.75,12.74,10,18,19
72,72,72,img_159.jpg,24.05,20.97,29.3,31.33,28,13,23
73,73,73,img_280_B.jpg,19.74,19.36,21.68,19.75,22,14,19
74,74,74,img_359.jpg,25.24,28.11,22.53,24.65,18,20,19
75,75,75,img_194_M.jpg,16.65,14.78,15.66,20.59,12,22,15
76,76,76,img_85_P.jpg,12.03,17.03,12.32,11.54,13,12,20
