Original Image,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
37.84,41.69,26.92,11.97,35,34,14
8.5,9.12,10.98,18.07,17,13,9
5.56,11.99,7.37,16.84,4,8,6
56.92,40.5,32.58,7.77,43,50,13
48.63,44.96,24.71,10.79,35,24,37
11.96,13.98,10.25,9.56,36,11,12
18.54,16.53,23.2,30.71,4,24,24
50.25,51.17,15.94,5.62,28,33,11
2.08,5.55,4.49,15.25,3,12,6
5.74,10.3,11.8,16.8,3,16,8
41.36,47.66,24.75,7.36,32,34,13
56.11,54.93,27.48,7.73,47,44,15
14.4,15.57,10.76,11.86,26,15,15
37.31,29.24,20.42,9.81,30,30,14
39.89,43.19,29.53,12.55,44,32,36
37.13,45.42,26.25,9.47,37,21,45
18.75,11.43,17.23,21.11,4,13,15
42.36,41.97,29.07,11.87,41,15,35
46.43,55.82,41.38,14.05,49,6,49
46.66,52.68,24.26,5.22,40,21,25
32.03,38.37,25.74,11.87,42,19,34
5.17,6.72,10.39,15.54,11,15,7
38.78,37.31,11.64,5.09,35,22,19
27.28,30.43,12.31,7.71,31,12,25
42.73,41.68,22.27,12.28,39,15,23
4.74,3.75,10.46,24.43,2,16,11
9.37,10.46,9.61,14.61,24,15,9
6.27,22.48,14.28,17.33,13,15,9
59.48,52.12,20.92,11.93,36,33,34
37.96,44.89,26.08,7.66,41,20,41
14.37,11.47,16.59,22.13,6,15,13
49.87,58.49,45.96,18.51,42,20,53
6.92,10.22,8.76,11.5,20,8,7
6.18,9.84,10.17,11.77,13,10,7
47.35,47.64,32.33,12.81,47,21,41
45.93,47.46,32.26,10.64,44,21,36
40.95,40.6,27.2,10.65,39,19,32
5.11,15.72,5.36,6.45,19,7,8
13.73,13.65,4.77,13.74,8,15,11
15.96,13.65,15.96,20.9,9,19,15
27,30.67,5.01,9.35,11,6,11
47.74,39.73,37.21,13.8,48,35,42
33.06,45,20.05,2.82,35,12,24
19,32.7,7.63,3.49,25,9,18
15.74,6.13,17.23,21.94,4,25,15
5.31,6.78,14.35,21.4,5,22,16
61.59,53.83,38.2,13.25,41,45,34
15.4,24.94,7.33,13.65,12,8,6
11.08,22.01,9.12,8.03,29,8,14
45.71,63.23,30.18,5.31,44,15,31
35.42,61.64,35.63,21.91,18,15,8
11.36,26.76,15.8,6.07,29,7,13
7.49,11.21,6.08,7.65,32,8,6
5.12,9.2,9.6,14.32,16,10,7
49.2,40.9,20.57,5.05,34,35,14
38.92,45.18,36.06,16.65,48,19,38
31.41,35.19,30.87,21.54,45,19,34
14.29,40.81,32.62,10.45,32,44,34
47.35,55.39,25.77,3.14,42,17,42
11.11,7.61,12.37,15.32,5,14,5
1.23,2.76,18.04,25.94,3,13,19
48.25,49.29,34.61,11.88,49,20,41
10.21,9.32,13.31,16.5,6,12,12
43.01,55.16,25.7,18.12,39,23,21
2.88,15.33,7.47,21.56,8,14,9
42.09,55.68,25.16,3.7,40,15,24
24.24,24.57,11.23,12.86,26,12,17
49.16,47.78,28.03,18.59,13,27,23
7.1,7.1,9.96,14.69,10,10,6
8.97,20.57,10.11,18.83,17,9,18
5.22,3.74,16.98,23.91,3,17,11
23.32,32,6.73,10.27,20,6,7
39.1,42.66,25.6,13.28,43,23,35
34.4,42.01,24.09,11.42,42,19,38
4.73,13.25,4.06,6.37,12,6,4
12.05,10.52,4.51,11.53,2,3,6
33.07,52.41,26.04,6.24,41,18,49
43.66,59.95,35.97,9.91,48,25,31
46.25,44.53,23.96,13.03,31,17,40
12.81,2.98,8.87,15.3,3,4,6
43.94,48.53,41.14,14.03,47,40,33
3.61,31.57,3.93,6.33,25,9,6
7.65,10.89,4.66,9.65,3,11,9
42.37,39.8,28.22,12.88,33,31,35
7.66,6.67,13.82,16.03,5,13,16
34.79,40.34,17.77,16.03,38,17,28
5.38,6.14,6.72,10.98,18,12,6
38.35,47.95,18.17,2.48,37,17,6
37.43,44.82,14.84,15.5,32,15,19
4.31,7.8,4.23,9.33,5,7,19
9.45,8.66,10.99,13.18,4,11,10
5.74,14.32,6.45,15.42,11,8,7
25.18,15.42,13.02,15.06,29,13,19
4.85,5.42,7.97,14.83,13,7,10
5.9,4.91,14.09,19.51,4,19,16
28.1,45.52,12.9,6.5,40,15,23
26.28,31.51,10.89,8.32,16,20,33
9.21,26.23,3.72,4.55,21,5,24
37.99,45.24,26.28,10.38,43,23,21
31.53,40.14,23.03,13.88,45,21,30
9.74,17.74,15.32,10.38,7,15,25
55.97,52.95,24.34,23.13,36,33,10
47.95,44.9,29.65,9.33,36,45,14
11.06,3.18,11.62,18.63,9,13,17
5.31,11.8,12.9,22.86,7,22,10
13.31,7.98,14.16,22.17,5,18,7
46.79,52.83,26.72,9.67,42,23,40
40.55,53.01,34.89,16.61,40,23,27
7.53,9.11,8.96,13.12,20,10,6
37.51,49.81,44.73,16.86,41,34,51
6.29,17.43,7.92,12.91,4,7,9
47.81,59.81,45.05,29.06,53,9,46
19.8,10.58,6.73,9.36,6,14,14
57.37,46.56,28.92,6.98,34,12,38
14.29,9.09,35.73,13.41,44,39,43
7.45,4.3,14.06,20.22,2,16,7
8.09,11.48,8,13.67,10,13,11
41.09,48.67,13.34,5,27,18,21
6.88,5.47,21.34,28.61,2,24,25
3.74,15,4.97,15.49,10,8,8
11.62,9.96,11.31,22.96,13,14,17
8.01,10.71,9.55,14.02,14,13,12
12.34,21.57,9.2,7.64,28,8,20
30.35,40.69,26.61,17,41,26,39
43.7,42.15,32.01,14.49,32,10,21
54.35,31.91,26.77,9.92,38,44,19
8.61,6.27,10.51,18.8,14,8,7
3.91,3.52,6.2,18.51,1,9,15
3.5,5.19,5.96,10.85,14,8,3
12.5,4.92,13.24,22.37,3,16,11
8.21,6.2,8.39,15.08,9,9,11
