Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
56.92,40.5,32.58,7.77,43,50,13
41.36,47.66,24.75,7.36,32,34,13
56.11,54.93,27.48,7.73,47,44,15
46.43,55.82,41.38,14.05,49,6,49
46.66,52.68,24.26,5.22,40,21,25
33.06,45,20.05,2.82,35,12,24
61.59,53.83,38.2,13.25,41,45,34
45.71,63.23,30.18,5.31,44,15,31
35.42,61.64,35.63,21.91,18,15,8
49.2,40.9,20.57,5.05,34,35,14
38.92,45.18,36.06,16.65,48,19,38
14.29,40.81,32.62,10.45,32,44,34
47.35,55.39,25.77,3.14,42,17,42
43.01,55.16,25.7,18.12,39,23,21
42.09,55.68,25.16,3.7,40,15,24
33.07,52.41,26.04,6.24,41,18,49
43.66,59.95,35.97,9.91,48,25,31
43.94,48.53,41.14,14.03,47,40,33
38.35,47.95,18.17,2.48,37,17,6
9.21,26.23,3.72,4.55,21,5,24
47.95,44.9,29.65,9.33,36,45,14
37.51,49.81,44.73,16.86,41,34,51
57.37,46.56,28.92,6.98,34,12,38
41.09,48.67,13.34,5,27,18,21
24.07,32.38,7.25,4.34,24,9,12
20,15,25,19,30,22,25
50.34,59.92,39.31,9.79,48,21,48
26.84,44.87,18.16,5.02,23,5,31
59.59,58.18,44.63,20.18,40,41,54
55.06,53.01,42.27,7.4,48,41,45
51.67,50.41,35.82,11.52,42,45,20
46.54,63.23,21.28,5.76,26,27,17
51.82,48.12,31.58,6.72,36,41,12
30.24,45.71,24.7,5.81,45,27,28
52.84,46.78,37.18,8.07,46,37,16
46.84,41.67,30.34,7.19,42,37,13
60.91,59.37,36.27,13,43,35,42
59.24,52.72,32.67,10.29,45,29,39
25.15,50.49,20.95,4.07,32,19,45
52.66,58.55,28.41,5.7,45,9,24
45.88,56.86,23.82,2.82,36,24,29
49.28,53.53,47.89,34.64,48,12,30
27.92,37.9,24.52,7.04,41,18,32
49.34,56.47,29.88,3.53,33,20,49
35.14,25.73,21.76,5.21,24,42,12
43.84,49.56,32.97,6.22,37,29,45
57.12,59.38,28.37,5.71,41,40,52
56.1,57.97,42.06,7.99,39,45,23
53.57,53.15,33.23,24.6,44,37,23
48.16,54.92,33.48,11.47,46,22,40
45.71,49.99,25.2,6.12,34,20,30
35.21,52.02,28.15,11.9,44,14,32
4.35,29.99,12.87,3.79,14,21,35
51.97,55.77,37.06,5.52,45,28,47
51.89,54.15,29.55,14.06,39,19,8
40.22,48.5,26.89,6.26,37,15,32
