Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
37.84,41.69,26.92,11.97,35,34,14
48.63,44.96,24.71,10.79,35,24,37
50.25,51.17,15.94,5.62,28,33,11
39.89,43.19,29.53,12.55,44,32,36
37.13,45.42,26.25,9.47,37,21,45
42.36,41.97,29.07,11.87,41,15,35
32.03,38.37,25.74,11.87,42,19,34
42.73,41.68,22.27,12.28,39,15,23
59.48,52.12,20.92,11.93,36,33,34
37.96,44.89,26.08,7.66,41,20,41
49.87,58.49,45.96,18.51,42,20,53
47.35,47.64,32.33,12.81,47,21,41
45.93,47.46,32.26,10.64,44,21,36
40.95,40.6,27.2,10.65,39,19,32
47.74,39.73,37.21,13.8,48,35,42
31.41,35.19,30.87,21.54,45,19,34
48.25,49.29,34.61,11.88,49,20,41
49.16,47.78,28.03,18.59,13,27,23
39.1,42.66,25.6,13.28,43,23,35
34.4,42.01,24.09,11.42,42,19,38
46.25,44.53,23.96,13.03,31,17,40
42.37,39.8,28.22,12.88,33,31,35
34.79,40.34,17.77,16.03,38,17,28
37.43,44.82,14.84,15.5,32,15,19
37.99,45.24,26.28,10.38,43,23,21
31.53,40.14,23.03,13.88,45,21,30
55.97,52.95,24.34,23.13,36,33,10
46.79,52.83,26.72,9.67,42,23,40
40.55,53.01,34.89,16.61,40,23,27
47.81,59.81,45.05,29.06,53,9,46
14.29,9.09,35.73,13.41,44,39,43
30.35,40.69,26.61,17,41,26,39
43.7,42.15,32.01,14.49,32,10,21
54.35,31.91,26.77,9.92,38,44,19
48.36,50.92,22.17,6.36,40,20,32
36.02,47.5,22.49,7.4,39,15,24
35.75,43,27.26,12.81,33,12,30
46.82,49.59,36.36,21.97,44,26,23
42.97,49.02,25.87,13.2,44,13,25
16.61,28.29,16.61,17.11,23,13,22
34.11,40.87,29.87,9.58,47,30,23
44.16,33.14,13.18,17.11,8,16,24
43,49.38,28.37,6.52,41,28,31
46.77,53.75,44.17,10.32,42,44,16
39.34,43.29,26.26,10.42,37,35,17
40.84,46.26,30.32,7.76,42,14,26
25.57,33.97,33.9,20.34,44,31,29
33.38,38.37,25.46,14.68,38,19,30
47.46,52.42,26.12,8.08,32,20,45
24.53,21.24,9.83,13.51,17,13,14
49.09,48.99,36.37,16.22,45,35,40
49.18,26.86,22.21,7.03,28,42,15
47.62,44.93,29.96,13.76,32,29,23
38.68,44.13,32.08,14.2,42,17,36
46.88,47.68,35.59,13.09,42,28,42
45.95,50.94,30.93,11.57,44,24,37
36.14,35.11,24.46,10.94,29,17,28
44.6,47.18,19.65,10.38,31,12,17
27.82,33.89,21.04,14.11,34,26,20
22.52,26.65,15.18,15.79,31,12,20
51.2,45.96,39.87,20.29,38,17,32
36.88,34.74,14.78,9.76,23,10,12
53.32,41.05,15.53,8.75,22,31,28
37.47,50.26,16.27,16.03,33,12,23
36.98,41.21,23.08,14.81,42,22,31
53.34,56.65,36.66,15.72,47,32,36
47.47,46.78,22.42,6.99,35,26,25
29.35,38.44,14.8,10.9,36,15,21
40.58,42.99,9.4,12.33,20,11,16
41.36,34.02,23.78,13.85,40,29,35
53.36,44.17,24.63,7.53,22,43,20
45.23,49.95,16.59,5.82,33,28,17
34.33,39.12,17.55,9.74,40,15,17
34.04,33.95,24.66,13.68,37,24,30
27.9,30.67,19.38,13.97,31,25,19
53.27,49.44,30.62,12.53,42,36,19
29.79,36.48,18.95,14.29,34,18,30
46.17,45.74,13.51,10.74,33,14,17
33.43,38.65,22.34,13.77,32,19,26
46.85,45.92,28.87,13.21,38,24,41
40.52,42.21,27.68,13.14,40,18,26
39.65,37.36,23.38,9.15,36,38,27
42.01,48.59,22.75,12.18,37,22,21
29.21,28.61,22.72,9.59,28,25,33
54,32.8,14.24,10.5,23,30,23
47.79,42,32.39,14.36,49,31,42
39.6,34.07,28.72,14.21,43,31,20
43.63,43.36,22.82,10.37,40,31,21
38.42,44.35,36.39,15.23,40,36,36
26.16,29.06,18.42,5.1,33,16,27
33.44,46.82,21.67,10.89,31,12,21
43.94,51.32,22.62,8.42,31,24,36
44.7,44.59,13.18,12.62,26,14,20
38.91,44.76,33.79,19.08,47,25,34
48.69,59.78,42.25,10.04,49,46,31
25,26.1,36.11,9.6,9,19,22
32.77,45.43,31.4,12.01,38,31,15
24.22,29.3,20.74,16.82,36,17,24
37.83,44.22,26.28,10.32,44,20,33
59.12,47.65,30.1,9.48,43,46,29
39.22,46.38,27.23,6.09,39,27,39
39.53,42.24,13.43,10.17,35,13,27
44.96,50.31,33.38,8.96,44,22,42
65.01,50.42,36.27,13.23,48,39,37
50.29,52.48,35.75,12.04,47,30,45
45.36,38.49,15.77,6.24,33,24,19
36.39,41.33,20.02,14.86,35,21,27
48.59,50.84,33.36,15.71,46,25,34
39.83,42.28,32.34,8.46,41,31,45
45.74,16.09,19.96,7.31,28,40,20
49.3,46.96,40.88,16.88,54,19,37
40.77,45.62,31.57,13.03,44,24,33
31.41,33.01,16.39,15.2,31,16,19
39.35,40.47,22.1,11.81,42,24,30
34.13,44.46,21.83,11.55,35,23,28
35.18,52.86,19.5,11.48,34,21,25
41.37,43.35,28.23,13.92,42,20,29
31.99,37.83,11.76,14.99,24,12,18
37.18,37.09,23.39,18.95,27,38,13
28.79,48.85,32.19,7.82,42,29,41
46.63,48.79,26.66,7.68,40,27,39
45.49,57.37,36.58,5.72,43,38,30
22.8,38.99,15.04,11.22,34,19,25
41.33,47.39,26.55,14.14,43,20,28
38.95,33.92,10.86,11.26,23,23,23
32.4,39.27,19.96,13.25,39,22,22
33.56,29.61,5.53,11.03,22,15,14
50.12,50.11,34.61,12.3,46,34,41
46.94,46.24,20.74,10.3,39,13,20
31.04,41.17,28.18,14.3,45,25,32
48.56,32.23,13.71,6.72,29,18,11
38.13,44.44,30.84,10.81,37,23,35
32.62,28.25,20.57,13.78,29,16,21
42.72,41.92,13.06,9.09,26,29,14
36.51,40.18,19.28,10.13,35,16,28
37.88,34.46,19.35,8.38,30,15,33
21.66,31.31,14.36,13.42,32,14,21
42.23,50,35.58,4.44,45,20,52
29.27,36.44,21.47,9.52,38,22,22
31.63,37.25,31.6,9.32,32,10,29
26.99,37.35,14.6,8.63,28,11,27
43.6,39.46,15.6,17.11,25,19,26
40.04,48.1,24.34,5.11,33,15,38
40.87,49.22,29.54,16.96,36,33,17
33.4,34.99,16.86,9.26,38,20,14
17.02,22.79,19.08,15.09,28,17,23
19.98,34.95,13.08,13.41,26,13,24
22.68,31.42,12.22,14.6,23,16,19
16.54,22.07,13.3,17.34,17,15,18
35.68,35.35,23.14,11.63,36,22,30
52.93,60.19,36.32,12.3,49,32,46
37.44,41.53,14.81,7.53,27,12,29
54.95,60.97,39.93,13.13,42,36,37
40.62,47.61,27.26,8.73,39,19,43
46.11,42.81,17.55,12.28,29,13,23
45.64,49.76,34.78,16.6,37,18,30
42.65,44.07,19.65,9.27,30,24,38
40.09,53.64,24.35,12.31,47,21,31
35.95,39.59,11.84,19.29,14,16,19
42.79,45.17,24.72,18.03,40,25,23
44.62,52.34,18.28,5.76,32,26,27
32.65,35.93,18.67,13.84,31,17,20
35.32,42.26,23.17,7.63,37,25,14
29.35,38.54,21.12,12.11,42,16,25
51.33,42.86,35.88,25.76,44,20,16
38.4,40.63,18.73,10.66,31,20,18
45.21,45.12,30.9,9.4,40,40,22
22.66,28.16,16.96,11.28,36,18,31
38.27,46.81,25,12.65,40,24,38
41.62,51.03,21.63,22.27,40,32,19
33.14,39.71,28.28,13.8,41,14,26
40.95,47.59,38.97,13.81,51,32,26
56.51,52.49,26.93,5.15,40,28,23
24.69,43.93,29.61,14.69,36,25,37
54.47,58.26,45.71,16.72,46,26,42
51.22,48.85,33.59,12.41,39,44,15
47.25,40.07,8.84,11.74,30,19,24
43.79,48.56,29.6,8.59,33,12,21
51.98,39.26,14.52,10.01,21,12,14
48.51,55.78,31.37,22.41,53,20,34
44.29,47.3,25.96,5.01,39,35,18
16.67,35.11,35.21,17.91,37,53,13
31.06,34.28,24.92,10.15,36,25,34
40.57,43.02,28.92,16.53,45,18,22
30.5,33.75,15.7,7.29,27,15,20
43.22,49.65,27.05,17.09,45,17,24
37.78,40.96,29.99,10.43,43,19,39
36.87,40.14,31.09,12.99,40,12,29
58.12,20.9,20.52,8.45,36,45,19
26.51,29.64,24.08,19.75,33,17,30
66.46,46.22,44.02,18.69,51,44,35
23.12,30.81,10.85,8.45,29,16,14
32.95,38.3,18.66,7.28,37,22,15
33.73,41.56,22.91,14.34,37,23,25
41.97,45.14,28.25,10.39,33,21,16
33.14,41.39,29.3,8.22,35,35,23
63.31,43.87,14.87,12.74,36,28,26
44.8,51.38,29.79,10.51,41,34,19
47.19,26.25,14.75,7.05,18,25,13
40,46.86,32.26,14.81,47,18,39
47.66,54.21,29.69,9.66,41,35,48
34.15,36.88,22.82,13.37,29,13,31
29.12,34.08,19.34,9.77,30,17,28
53.13,54.62,29.82,14.52,48,25,39
37.77,39.94,28.25,14.28,39,20,18
44.15,47.75,20.48,8.74,36,15,28
44.49,46.31,25.72,9.66,34,34,47
37.96,43.85,36.38,9.28,44,36,53
26.43,40.97,23.35,6.94,39,32,25
33.97,43.41,23.37,8.91,42,19,28
37.88,41.89,25.25,8.56,40,28,32
42.58,41.62,25.15,9.63,36,13,24
35.3,42.67,12.62,12.24,23,11,18
48.33,39.53,29.64,11.99,45,43,17
38.75,45.1,23.01,9.3,47,12,28
38.7,45.94,24.06,5.5,43,22,35
37.34,47.51,17.65,6.51,29,19,29
