,Unnamed: 0,Unnamed: 0.1,image,ps,ps1,ps2,ps3,ps4,ps5,ps6
0,0,0,img_120_M.jpg,37.84,41.69,26.92,11.97,35,34,14
1,1,1,img_421_P.jpg,8.5,9.12,10.98,18.07,17,13,9
2,2,2,img_103.jpg,5.56,11.99,7.37,16.84,4,8,6
3,3,3,img_229_B.jpg,56.92,40.5,32.58,7.77,43,50,13
4,4,4,img_179_M.jpg,48.63,44.96,24.71,10.79,35,24,37
5,5,5,img_298.jpg,11.96,13.98,10.25,9.56,36,11,12
6,6,6,img_113_P.jpg,18.54,16.53,23.2,30.71,4,24,24
7,7,7,img_216_M.jpg,50.25,51.17,15.94,5.62,28,33,11
8,8,8,img_124_P.jpg,2.08,5.55,4.49,15.25,3,12,6
9,9,9,img_153_P.jpg,5.74,10.3,11.8,16.8,3,16,8
10,10,10,img_327_B.jpg,41.36,47.66,24.75,7.36,32,34,13
11,11,11,img_471_B.jpg,56.11,54.93,27.48,7.73,47,44,15
12,12,12,img_72_P.jpg,14.4,15.57,10.76,11.86,26,15,15
13,13,13,img_249.jpg,37.31,29.24,20.42,9.81,30,30,14
14,14,14,img_525_M.jpg,39.89,43.19,29.53,12.55,44,32,36
15,15,15,img_239_M.jpg,37.13,45.42,26.25,9.47,37,21,45
16,16,16,img_427_P.jpg,18.75,11.43,17.23,21.11,4,13,15
17,17,17,img_485_M.jpg,42.36,41.97,29.07,11.87,41,15,35
18,18,18,img_61_B.jpg,46.43,55.82,41.38,14.05,49,6,49
19,19,19,img_115_B.jpg,46.66,52.68,24.26,5.22,40,21,25
20,20,20,img_207_M.jpg,32.03,38.37,25.74,11.87,42,19,34
21,21,21,img_530_P.jpg,5.17,6.72,10.39,15.54,11,15,7
22,22,22,img_414.jpg,38.78,37.31,11.64,5.09,35,22,19
23,23,23,img_282.jpg,27.28,30.43,12.31,7.71,31,12,25
24,24,24,img_519_M.jpg,42.73,41.68,22.27,12.28,39,15,23
25,25,25,img_235_P.jpg,4.74,3.75,10.46,24.43,2,16,11
26,26,26,img_370_P.jpg,9.37,10.46,9.61,14.61,24,15,9
27,27,27,img_90_P.jpg,6.27,22.48,14.28,17.33,13,15,9
28,28,28,img_212_M.jpg,59.48,52.12,20.92,11.93,36,33,34
29,29,29,img_295_M.jpg,37.96,44.89,26.08,7.66,41,20,41
30,30,30,img_393_P.jpg,14.37,11.47,16.59,22.13,6,15,13
31,31,31,img_154_M.jpg,49.87,58.49,45.96,18.51,42,20,53
32,32,32,img_47_P.jpg,6.92,10.22,8.76,11.5,20,8,7
